date,date_key,year,month,month_name,quarter,day,day_name,week
2018-11-06,20181106,2018,11,November,4,6,Tuesday,45
2018-11-07,20181107,2018,11,November,4,7,Wednesday,45
2018-11-08,20181108,2018,11,November,4,8,Thursday,45
2018-11-09,20181109,2018,11,November,4,9,Friday,45
2018-11-10,20181110,2018,11,November,4,10,Saturday,45
2018-11-11,20181111,2018,11,November,4,11,Sunday,45
2018-11-12,20181112,2018,11,November,4,12,Monday,46
2018-11-13,20181113,2018,11,November,4,13,Tuesday,46
2018-11-14,20181114,2018,11,November,4,14,Wednesday,46
2018-11-15,20181115,2018,11,November,4,15,Thursday,46
2018-11-16,20181116,2018,11,November,4,16,Friday,46
2018-11-17,20181117,2018,11,November,4,17,Saturday,46
2018-11-18,20181118,2018,11,November,4,18,Sunday,46
2018-11-19,20181119,2018,11,November,4,19,Monday,47
2018-11-20,20181120,2018,11,November,4,20,Tuesday,47
2018-11-21,20181121,2018,11,November,4,21,Wednesday,47
2018-11-22,20181122,2018,11,November,4,22,Thursday,47
2018-11-23,20181123,2018,11,November,4,23,Friday,47
2018-11-24,20181124,2018,11,November,4,24,Saturday,47
2018-11-25,20181125,2018,11,November,4,25,Sunday,47
2018-11-26,20181126,2018,11,November,4,26,Monday,48
2018-11-27,20181127,2018,11,November,4,27,Tuesday,48
2018-11-28,20181128,2018,11,November,4,28,Wednesday,48
2018-11-29,20181129,2018,11,November,4,29,Thursday,48
2018-11-30,20181130,2018,11,November,4,30,Friday,48
2018-12-01,20181201,2018,12,December,4,1,Saturday,48
2018-12-02,20181202,2018,12,December,4,2,Sunday,48
2018-12-03,20181203,2018,12,December,4,3,Monday,49
2018-12-04,20181204,2018,12,December,4,4,Tuesday,49
2018-12-05,20181205,2018,12,December,4,5,Wednesday,49
2018-12-06,20181206,2018,12,December,4,6,Thursday,49
2018-12-07,20181207,2018,12,December,4,7,Friday,49
2018-12-08,20181208,2018,12,December,4,8,Saturday,49
2018-12-09,20181209,2018,12,December,4,9,Sunday,49
2018-12-10,20181210,2018,12,December,4,10,Monday,50
2018-12-11,20181211,2018,12,December,4,11,Tuesday,50
2018-12-12,20181212,2018,12,December,4,12,Wednesday,50
2018-12-13,20181213,2018,12,December,4,13,Thursday,50
2018-12-14,20181214,2018,12,December,4,14,Friday,50
2018-12-15,20181215,2018,12,December,4,15,Saturday,50
2018-12-16,20181216,2018,12,December,4,16,Sunday,50
2018-12-17,20181217,2018,12,December,4,17,Monday,51
2018-12-18,20181218,2018,12,December,4,18,Tuesday,51
2018-12-19,20181219,2018,12,December,4,19,Wednesday,51
2018-12-20,20181220,2018,12,December,4,20,Thursday,51
2018-12-21,20181221,2018,12,December,4,21,Friday,51
2018-12-22,20181222,2018,12,December,4,22,Saturday,51
2018-12-23,20181223,2018,12,December,4,23,Sunday,51
2018-12-24,20181224,2018,12,December,4,24,Monday,52
2018-12-25,20181225,2018,12,December,4,25,Tuesday,52
2018-12-26,20181226,2018,12,December,4,26,Wednesday,52
2018-12-27,20181227,2018,12,December,4,27,Thursday,52
2018-12-28,20181228,2018,12,December,4,28,Friday,52
2018-12-29,20181229,2018,12,December,4,29,Saturday,52
2018-12-30,20181230,2018,12,December,4,30,Sunday,52
2018-12-31,20181231,2018,12,December,4,31,Monday,1
2019-01-01,20190101,2019,1,January,1,1,Tuesday,1
2019-01-02,20190102,2019,1,January,1,2,Wednesday,1
2019-01-03,20190103,2019,1,January,1,3,Thursday,1
2019-01-04,20190104,2019,1,January,1,4,Friday,1
2019-01-05,20190105,2019,1,January,1,5,Saturday,1
2019-01-06,20190106,2019,1,January,1,6,Sunday,1
2019-01-07,20190107,2019,1,January,1,7,Monday,2
2019-01-08,20190108,2019,1,January,1,8,Tuesday,2
2019-01-09,20190109,2019,1,January,1,9,Wednesday,2
2019-01-10,20190110,2019,1,January,1,10,Thursday,2
2019-01-11,20190111,2019,1,January,1,11,Friday,2
2019-01-12,20190112,2019,1,January,1,12,Saturday,2
2019-01-13,20190113,2019,1,January,1,13,Sunday,2
2019-01-14,20190114,2019,1,January,1,14,Monday,3
2019-01-15,20190115,2019,1,January,1,15,Tuesday,3
2019-01-16,20190116,2019,1,January,1,16,Wednesday,3
2019-01-17,20190117,2019,1,January,1,17,Thursday,3
2019-01-18,20190118,2019,1,January,1,18,Friday,3
2019-01-19,20190119,2019,1,January,1,19,Saturday,3
2019-01-20,20190120,2019,1,January,1,20,Sunday,3
2019-01-21,20190121,2019,1,January,1,21,Monday,4
2019-01-22,20190122,2019,1,January,1,22,Tuesday,4
2019-01-23,20190123,2019,1,January,1,23,Wednesday,4
2019-01-24,20190124,2019,1,January,1,24,Thursday,4
2019-01-25,20190125,2019,1,January,1,25,Friday,4
2019-01-26,20190126,2019,1,January,1,26,Saturday,4
2019-01-27,20190127,2019,1,January,1,27,Sunday,4
2019-01-28,20190128,2019,1,January,1,28,Monday,5
2019-01-29,20190129,2019,1,January,1,29,Tuesday,5
2019-01-30,20190130,2019,1,January,1,30,Wednesday,5
2019-01-31,20190131,2019,1,January,1,31,Thursday,5
2019-02-01,20190201,2019,2,February,1,1,Friday,5
2019-02-02,20190202,2019,2,February,1,2,Saturday,5
2019-02-03,20190203,2019,2,February,1,3,Sunday,5
2019-02-04,20190204,2019,2,February,1,4,Monday,6
2019-02-05,20190205,2019,2,February,1,5,Tuesday,6
2019-02-06,20190206,2019,2,February,1,6,Wednesday,6
2019-02-07,20190207,2019,2,February,1,7,Thursday,6
2019-02-08,20190208,2019,2,February,1,8,Friday,6
2019-02-09,20190209,2019,2,February,1,9,Saturday,6
2019-02-10,20190210,2019,2,February,1,10,Sunday,6
2019-02-11,20190211,2019,2,February,1,11,Monday,7
2019-02-12,20190212,2019,2,February,1,12,Tuesday,7
2019-02-13,20190213,2019,2,February,1,13,Wednesday,7
2019-02-14,20190214,2019,2,February,1,14,Thursday,7
2019-02-15,20190215,2019,2,February,1,15,Friday,7
2019-02-16,20190216,2019,2,February,1,16,Saturday,7
2019-02-17,20190217,2019,2,February,1,17,Sunday,7
2019-02-18,20190218,2019,2,February,1,18,Monday,8
2019-02-19,20190219,2019,2,February,1,19,Tuesday,8
2019-02-20,20190220,2019,2,February,1,20,Wednesday,8
2019-02-21,20190221,2019,2,February,1,21,Thursday,8
2019-02-22,20190222,2019,2,February,1,22,Friday,8
2019-02-23,20190223,2019,2,February,1,23,Saturday,8
2019-02-24,20190224,2019,2,February,1,24,Sunday,8
2019-02-25,20190225,2019,2,February,1,25,Monday,9
2019-02-26,20190226,2019,2,February,1,26,Tuesday,9
2019-02-27,20190227,2019,2,February,1,27,Wednesday,9
2019-02-28,20190228,2019,2,February,1,28,Thursday,9
2019-03-01,20190301,2019,3,March,1,1,Friday,9
2019-03-02,20190302,2019,3,March,1,2,Saturday,9
2019-03-03,20190303,2019,3,March,1,3,Sunday,9
2019-03-04,20190304,2019,3,March,1,4,Monday,10
2019-03-05,20190305,2019,3,March,1,5,Tuesday,10
2019-03-06,20190306,2019,3,March,1,6,Wednesday,10
2019-03-07,20190307,2019,3,March,1,7,Thursday,10
2019-03-08,20190308,2019,3,March,1,8,Friday,10
2019-03-09,20190309,2019,3,March,1,9,Saturday,10
2019-03-10,20190310,2019,3,March,1,10,Sunday,10
2019-03-11,20190311,2019,3,March,1,11,Monday,11
2019-03-12,20190312,2019,3,March,1,12,Tuesday,11
2019-03-13,20190313,2019,3,March,1,13,Wednesday,11
2019-03-14,20190314,2019,3,March,1,14,Thursday,11
2019-03-15,20190315,2019,3,March,1,15,Friday,11
2019-03-16,20190316,2019,3,March,1,16,Saturday,11
2019-03-17,20190317,2019,3,March,1,17,Sunday,11
2019-03-18,20190318,2019,3,March,1,18,Monday,12
2019-03-19,20190319,2019,3,March,1,19,Tuesday,12
2019-03-20,20190320,2019,3,March,1,20,Wednesday,12
2019-03-21,20190321,2019,3,March,1,21,Thursday,12
2019-03-22,20190322,2019,3,March,1,22,Friday,12
2019-03-23,20190323,2019,3,March,1,23,Saturday,12
2019-03-24,20190324,2019,3,March,1,24,Sunday,12
2019-03-25,20190325,2019,3,March,1,25,Monday,13
2019-03-26,20190326,2019,3,March,1,26,Tuesday,13
2019-03-27,20190327,2019,3,March,1,27,Wednesday,13
2019-03-28,20190328,2019,3,March,1,28,Thursday,13
2019-03-29,20190329,2019,3,March,1,29,Friday,13
2019-03-30,20190330,2019,3,March,1,30,Saturday,13
2019-03-31,20190331,2019,3,March,1,31,Sunday,13
2019-04-01,20190401,2019,4,April,2,1,Monday,14
2019-04-02,20190402,2019,4,April,2,2,Tuesday,14
2019-04-03,20190403,2019,4,April,2,3,Wednesday,14
2019-04-04,20190404,2019,4,April,2,4,Thursday,14
2019-04-05,20190405,2019,4,April,2,5,Friday,14
2019-04-06,20190406,2019,4,April,2,6,Saturday,14
2019-04-07,20190407,2019,4,April,2,7,Sunday,14
2019-04-08,20190408,2019,4,April,2,8,Monday,15
2019-04-09,20190409,2019,4,April,2,9,Tuesday,15
2019-04-10,20190410,2019,4,April,2,10,Wednesday,15
2019-04-11,20190411,2019,4,April,2,11,Thursday,15
2019-04-12,20190412,2019,4,April,2,12,Friday,15
2019-04-13,20190413,2019,4,April,2,13,Saturday,15
2019-04-14,20190414,2019,4,April,2,14,Sunday,15
2019-04-15,20190415,2019,4,April,2,15,Monday,16
2019-04-16,20190416,2019,4,April,2,16,Tuesday,16
2019-04-17,20190417,2019,4,April,2,17,Wednesday,16
2019-04-18,20190418,2019,4,April,2,18,Thursday,16
2019-04-19,20190419,2019,4,April,2,19,Friday,16
2019-04-20,20190420,2019,4,April,2,20,Saturday,16
2019-04-21,20190421,2019,4,April,2,21,Sunday,16
2019-04-22,20190422,2019,4,April,2,22,Monday,17
2019-04-23,20190423,2019,4,April,2,23,Tuesday,17
2019-04-24,20190424,2019,4,April,2,24,Wednesday,17
2019-04-25,20190425,2019,4,April,2,25,Thursday,17
2019-04-26,20190426,2019,4,April,2,26,Friday,17
2019-04-27,20190427,2019,4,April,2,27,Saturday,17
2019-04-28,20190428,2019,4,April,2,28,Sunday,17
2019-04-29,20190429,2019,4,April,2,29,Monday,18
2019-04-30,20190430,2019,4,April,2,30,Tuesday,18
2019-05-01,20190501,2019,5,May,2,1,Wednesday,18
2019-05-02,20190502,2019,5,May,2,2,Thursday,18
2019-05-03,20190503,2019,5,May,2,3,Friday,18
2019-05-04,20190504,2019,5,May,2,4,Saturday,18
2019-05-05,20190505,2019,5,May,2,5,Sunday,18
2019-05-06,20190506,2019,5,May,2,6,Monday,19
2019-05-07,20190507,2019,5,May,2,7,Tuesday,19
2019-05-08,20190508,2019,5,May,2,8,Wednesday,19
2019-05-09,20190509,2019,5,May,2,9,Thursday,19
2019-05-10,20190510,2019,5,May,2,10,Friday,19
2019-05-11,20190511,2019,5,May,2,11,Saturday,19
2019-05-12,20190512,2019,5,May,2,12,Sunday,19
2019-05-13,20190513,2019,5,May,2,13,Monday,20
2019-05-14,20190514,2019,5,May,2,14,Tuesday,20
2019-05-15,20190515,2019,5,May,2,15,Wednesday,20
2019-05-16,20190516,2019,5,May,2,16,Thursday,20
2019-05-17,20190517,2019,5,May,2,17,Friday,20
2019-05-18,20190518,2019,5,May,2,18,Saturday,20
2019-05-19,20190519,2019,5,May,2,19,Sunday,20
2019-05-20,20190520,2019,5,May,2,20,Monday,21
2019-05-21,20190521,2019,5,May,2,21,Tuesday,21
2019-05-22,20190522,2019,5,May,2,22,Wednesday,21
2019-05-23,20190523,2019,5,May,2,23,Thursday,21
2019-05-24,20190524,2019,5,May,2,24,Friday,21
2019-05-25,20190525,2019,5,May,2,25,Saturday,21
2019-05-26,20190526,2019,5,May,2,26,Sunday,21
2019-05-27,20190527,2019,5,May,2,27,Monday,22
2019-05-28,20190528,2019,5,May,2,28,Tuesday,22
2019-05-29,20190529,2019,5,May,2,29,Wednesday,22
2019-05-30,20190530,2019,5,May,2,30,Thursday,22
2019-05-31,20190531,2019,5,May,2,31,Friday,22
2019-06-01,20190601,2019,6,June,2,1,Saturday,22
2019-06-02,20190602,2019,6,June,2,2,Sunday,22
2019-06-03,20190603,2019,6,June,2,3,Monday,23
2019-06-04,20190604,2019,6,June,2,4,Tuesday,23
2019-06-05,20190605,2019,6,June,2,5,Wednesday,23
2019-06-06,20190606,2019,6,June,2,6,Thursday,23
2019-06-07,20190607,2019,6,June,2,7,Friday,23
2019-06-08,20190608,2019,6,June,2,8,Saturday,23
2019-06-09,20190609,2019,6,June,2,9,Sunday,23
2019-06-10,20190610,2019,6,June,2,10,Monday,24
2019-06-11,20190611,2019,6,June,2,11,Tuesday,24
2019-06-12,20190612,2019,6,June,2,12,Wednesday,24
2019-06-13,20190613,2019,6,June,2,13,Thursday,24
2019-06-14,20190614,2019,6,June,2,14,Friday,24
2019-06-15,20190615,2019,6,June,2,15,Saturday,24
2019-06-16,20190616,2019,6,June,2,16,Sunday,24
2019-06-17,20190617,2019,6,June,2,17,Monday,25
2019-06-18,20190618,2019,6,June,2,18,Tuesday,25
2019-06-19,20190619,2019,6,June,2,19,Wednesday,25
2019-06-20,20190620,2019,6,June,2,20,Thursday,25
2019-06-21,20190621,2019,6,June,2,21,Friday,25
2019-06-22,20190622,2019,6,June,2,22,Saturday,25
2019-06-23,20190623,2019,6,June,2,23,Sunday,25
2019-06-24,20190624,2019,6,June,2,24,Monday,26
2019-06-25,20190625,2019,6,June,2,25,Tuesday,26
2019-06-26,20190626,2019,6,June,2,26,Wednesday,26
2019-06-27,20190627,2019,6,June,2,27,Thursday,26
2019-06-28,20190628,2019,6,June,2,28,Friday,26
2019-06-29,20190629,2019,6,June,2,29,Saturday,26
2019-06-30,20190630,2019,6,June,2,30,Sunday,26
2019-07-01,20190701,2019,7,July,3,1,Monday,27
2019-07-02,20190702,2019,7,July,3,2,Tuesday,27
2019-07-03,20190703,2019,7,July,3,3,Wednesday,27
2019-07-04,20190704,2019,7,July,3,4,Thursday,27
2019-07-05,20190705,2019,7,July,3,5,Friday,27
2019-07-06,20190706,2019,7,July,3,6,Saturday,27
2019-07-07,20190707,2019,7,July,3,7,Sunday,27
2019-07-08,20190708,2019,7,July,3,8,Monday,28
2019-07-09,20190709,2019,7,July,3,9,Tuesday,28
2019-07-10,20190710,2019,7,July,3,10,Wednesday,28
2019-07-11,20190711,2019,7,July,3,11,Thursday,28
2019-07-12,20190712,2019,7,July,3,12,Friday,28
2019-07-13,20190713,2019,7,July,3,13,Saturday,28
2019-07-14,20190714,2019,7,July,3,14,Sunday,28
2019-07-15,20190715,2019,7,July,3,15,Monday,29
2019-07-16,20190716,2019,7,July,3,16,Tuesday,29
2019-07-17,20190717,2019,7,July,3,17,Wednesday,29
2019-07-18,20190718,2019,7,July,3,18,Thursday,29
2019-07-19,20190719,2019,7,July,3,19,Friday,29
2019-07-20,20190720,2019,7,July,3,20,Saturday,29
2019-07-21,20190721,2019,7,July,3,21,Sunday,29
2019-07-22,20190722,2019,7,July,3,22,Monday,30
2019-07-23,20190723,2019,7,July,3,23,Tuesday,30
2019-07-24,20190724,2019,7,July,3,24,Wednesday,30
2019-07-25,20190725,2019,7,July,3,25,Thursday,30
2019-07-26,20190726,2019,7,July,3,26,Friday,30
2019-07-27,20190727,2019,7,July,3,27,Saturday,30
2019-07-28,20190728,2019,7,July,3,28,Sunday,30
2019-07-29,20190729,2019,7,July,3,29,Monday,31
2019-07-30,20190730,2019,7,July,3,30,Tuesday,31
2019-07-31,20190731,2019,7,July,3,31,Wednesday,31
2019-08-01,20190801,2019,8,August,3,1,Thursday,31
2019-08-02,20190802,2019,8,August,3,2,Friday,31
2019-08-03,20190803,2019,8,August,3,3,Saturday,31
2019-08-04,20190804,2019,8,August,3,4,Sunday,31
2019-08-05,20190805,2019,8,August,3,5,Monday,32
2019-08-06,20190806,2019,8,August,3,6,Tuesday,32
2019-08-07,20190807,2019,8,August,3,7,Wednesday,32
2019-08-08,20190808,2019,8,August,3,8,Thursday,32
2019-08-09,20190809,2019,8,August,3,9,Friday,32
2019-08-10,20190810,2019,8,August,3,10,Saturday,32
2019-08-11,20190811,2019,8,August,3,11,Sunday,32
2019-08-12,20190812,2019,8,August,3,12,Monday,33
2019-08-13,20190813,2019,8,August,3,13,Tuesday,33
2019-08-14,20190814,2019,8,August,3,14,Wednesday,33
2019-08-15,20190815,2019,8,August,3,15,Thursday,33
2019-08-16,20190816,2019,8,August,3,16,Friday,33
2019-08-17,20190817,2019,8,August,3,17,Saturday,33
2019-08-18,20190818,2019,8,August,3,18,Sunday,33
2019-08-19,20190819,2019,8,August,3,19,Monday,34
2019-08-20,20190820,2019,8,August,3,20,Tuesday,34
2019-08-21,20190821,2019,8,August,3,21,Wednesday,34
2019-08-22,20190822,2019,8,August,3,22,Thursday,34
2019-08-23,20190823,2019,8,August,3,23,Friday,34
2019-08-24,20190824,2019,8,August,3,24,Saturday,34
2019-08-25,20190825,2019,8,August,3,25,Sunday,34
2019-08-26,20190826,2019,8,August,3,26,Monday,35
2019-08-27,20190827,2019,8,August,3,27,Tuesday,35
2019-08-28,20190828,2019,8,August,3,28,Wednesday,35
2019-08-29,20190829,2019,8,August,3,29,Thursday,35
2019-08-30,20190830,2019,8,August,3,30,Friday,35
2019-08-31,20190831,2019,8,August,3,31,Saturday,35
2019-09-01,20190901,2019,9,September,3,1,Sunday,35
2019-09-02,20190902,2019,9,September,3,2,Monday,36
2019-09-03,20190903,2019,9,September,3,3,Tuesday,36
2019-09-04,20190904,2019,9,September,3,4,Wednesday,36
2019-09-05,20190905,2019,9,September,3,5,Thursday,36
2019-09-06,20190906,2019,9,September,3,6,Friday,36
2019-09-07,20190907,2019,9,September,3,7,Saturday,36
2019-09-08,20190908,2019,9,September,3,8,Sunday,36
2019-09-09,20190909,2019,9,September,3,9,Monday,37
2019-09-10,20190910,2019,9,September,3,10,Tuesday,37
2019-09-11,20190911,2019,9,September,3,11,Wednesday,37
2019-09-12,20190912,2019,9,September,3,12,Thursday,37
2019-09-13,20190913,2019,9,September,3,13,Friday,37
2019-09-14,20190914,2019,9,September,3,14,Saturday,37
2019-09-15,20190915,2019,9,September,3,15,Sunday,37
2019-09-16,20190916,2019,9,September,3,16,Monday,38
2019-09-17,20190917,2019,9,September,3,17,Tuesday,38
2019-09-18,20190918,2019,9,September,3,18,Wednesday,38
2019-09-19,20190919,2019,9,September,3,19,Thursday,38
2019-09-20,20190920,2019,9,September,3,20,Friday,38
2019-09-21,20190921,2019,9,September,3,21,Saturday,38
2019-09-22,20190922,2019,9,September,3,22,Sunday,38
2019-09-23,20190923,2019,9,September,3,23,Monday,39
2019-09-24,20190924,2019,9,September,3,24,Tuesday,39
2019-09-25,20190925,2019,9,September,3,25,Wednesday,39
2019-09-26,20190926,2019,9,September,3,26,Thursday,39
2019-09-27,20190927,2019,9,September,3,27,Friday,39
2019-09-28,20190928,2019,9,September,3,28,Saturday,39
2019-09-29,20190929,2019,9,September,3,29,Sunday,39
2019-09-30,20190930,2019,9,September,3,30,Monday,40
2019-10-01,20191001,2019,10,October,4,1,Tuesday,40
2019-10-02,20191002,2019,10,October,4,2,Wednesday,40
2019-10-03,20191003,2019,10,October,4,3,Thursday,40
2019-10-04,20191004,2019,10,October,4,4,Friday,40
2019-10-05,20191005,2019,10,October,4,5,Saturday,40
2019-10-06,20191006,2019,10,October,4,6,Sunday,40
2019-10-07,20191007,2019,10,October,4,7,Monday,41
2019-10-08,20191008,2019,10,October,4,8,Tuesday,41
2019-10-09,20191009,2019,10,October,4,9,Wednesday,41
2019-10-10,20191010,2019,10,October,4,10,Thursday,41
2019-10-11,20191011,2019,10,October,4,11,Friday,41
2019-10-12,20191012,2019,10,October,4,12,Saturday,41
2019-10-13,20191013,2019,10,October,4,13,Sunday,41
2019-10-14,20191014,2019,10,October,4,14,Monday,42
2019-10-15,20191015,2019,10,October,4,15,Tuesday,42
2019-10-16,20191016,2019,10,October,4,16,Wednesday,42
2019-10-17,20191017,2019,10,October,4,17,Thursday,42
2019-10-18,20191018,2019,10,October,4,18,Friday,42
2019-10-19,20191019,2019,10,October,4,19,Saturday,42
2019-10-20,20191020,2019,10,October,4,20,Sunday,42
2019-10-21,20191021,2019,10,October,4,21,Monday,43
2019-10-22,20191022,2019,10,October,4,22,Tuesday,43
2019-10-23,20191023,2019,10,October,4,23,Wednesday,43
2019-10-24,20191024,2019,10,October,4,24,Thursday,43
2019-10-25,20191025,2019,10,October,4,25,Friday,43
2019-10-26,20191026,2019,10,October,4,26,Saturday,43
2019-10-27,20191027,2019,10,October,4,27,Sunday,43
2019-10-28,20191028,2019,10,October,4,28,Monday,44
2019-10-29,20191029,2019,10,October,4,29,Tuesday,44
2019-10-30,20191030,2019,10,October,4,30,Wednesday,44
2019-10-31,20191031,2019,10,October,4,31,Thursday,44
2019-11-01,20191101,2019,11,November,4,1,Friday,44
2019-11-02,20191102,2019,11,November,4,2,Saturday,44
2019-11-03,20191103,2019,11,November,4,3,Sunday,44
2019-11-04,20191104,2019,11,November,4,4,Monday,45
2019-11-05,20191105,2019,11,November,4,5,Tuesday,45
2019-11-06,20191106,2019,11,November,4,6,Wednesday,45
2019-11-07,20191107,2019,11,November,4,7,Thursday,45
2019-11-08,20191108,2019,11,November,4,8,Friday,45
2019-11-09,20191109,2019,11,November,4,9,Saturday,45
2019-11-10,20191110,2019,11,November,4,10,Sunday,45
2019-11-11,20191111,2019,11,November,4,11,Monday,46
2019-11-12,20191112,2019,11,November,4,12,Tuesday,46
2019-11-13,20191113,2019,11,November,4,13,Wednesday,46
2019-11-14,20191114,2019,11,November,4,14,Thursday,46
2019-11-15,20191115,2019,11,November,4,15,Friday,46
2019-11-16,20191116,2019,11,November,4,16,Saturday,46
2019-11-17,20191117,2019,11,November,4,17,Sunday,46
2019-11-18,20191118,2019,11,November,4,18,Monday,47
2019-11-19,20191119,2019,11,November,4,19,Tuesday,47
2019-11-20,20191120,2019,11,November,4,20,Wednesday,47
2019-11-21,20191121,2019,11,November,4,21,Thursday,47
2019-11-22,20191122,2019,11,November,4,22,Friday,47
2019-11-23,20191123,2019,11,November,4,23,Saturday,47
2019-11-24,20191124,2019,11,November,4,24,Sunday,47
2019-11-25,20191125,2019,11,November,4,25,Monday,48
2019-11-26,20191126,2019,11,November,4,26,Tuesday,48
2019-11-27,20191127,2019,11,November,4,27,Wednesday,48
2019-11-28,20191128,2019,11,November,4,28,Thursday,48
2019-11-29,20191129,2019,11,November,4,29,Friday,48
