employee_index,employee_id,predicted_attrition,attrition_probability,actual_attrition,title,tenure_years,total_training_cost,age,division,department_type,business_unit,avg_rating,avg_wlb,state,avg_engagement,race_desc,avg_satisfaction,avg_training_days,marital_desc,start_date_key,survey_date_key,training_date_key
20,3450,0,0.020089659313934135,0,2,5.117808219178082,186.07,26,6,4,3,2.0,5.0,3,4.0,3,3.0,4.0,2,20200901.0,20230118.0,20230112.0
21,3451,0,0.051038688872128535,0,2,4.652054794520548,921.97,53,9,4,8,3.0,2.0,3,5.0,3,1.0,1.0,0,20210218.0,20230429.0,20230322.0
22,3452,0,0.018301846029094532,0,2,2.9315068493150687,691.04,75,9,4,6,2.0,2.0,8,5.0,1,5.0,1.0,0,20221108.0,20230119.0,20220913.0
23,3453,0,0.1173994749363268,0,2,3.0027397260273974,964.44,40,7,4,9,4.0,3.0,10,5.0,4,5.0,5.0,3,20221013.0,20220917.0,20220825.0
24,3454,0,0.07235959307589464,0,2,3.0904109589041098,184.9,52,9,2,6,4.0,2.0,9,4.0,2,4.0,3.0,1,20220911.0,20230314.0,20230207.0
25,3455,0,0.05083935793600301,0,2,4.293150684931507,220.41,22,15,4,9,4.0,1.0,9,2.0,3,1.0,1.0,3,20210629.0,20220812.0,20230317.0
26,3456,0,0.03397389851869807,0,2,2.6082191780821917,336.82,77,6,4,4,3.0,4.0,9,4.0,1,3.0,2.0,0,20230306.0,20230330.0,20230608.0
27,3457,0,0.05201843757563385,0,2,5.052054794520548,485.73,73,4,4,5,3.0,4.0,9,5.0,4,1.0,4.0,0,20200925.0,20230421.0,20230415.0
28,3460,0,0.11447403381488468,0,2,5.652054794520548,919.52,76,0,4,7,3.0,3.0,23,4.0,0,3.0,5.0,1,20200219.0,20221116.0,20230708.0
29,3462,0,0.04635100382848591,0,2,7.087671232876712,320.01,76,6,4,3,3.0,1.0,3,3.0,2,3.0,1.0,0,20180913.0,20221108.0,20230719.0
30,3463,0,0.010817644101246464,0,2,5.457534246575342,926.19,69,6,4,8,1.0,4.0,8,4.0,2,3.0,4.0,2,20200430.0,20220918.0,20220829.0
31,3464,0,0.09458861404852517,0,2,6.865753424657535,290.47,20,18,4,6,5.0,3.0,10,2.0,1,5.0,2.0,3,20181203.0,20221229.0,20221113.0
32,3465,0,0.06917305259248883,0,2,3.9315068493150687,706.1,59,9,4,9,3.0,3.0,10,5.0,0,4.0,1.0,0,20211108.0,20230519.0,20230604.0
33,3466,0,0.10185980736592473,0,2,3.504109589041096,447.66,43,0,2,6,4.0,4.0,9,1.0,3,3.0,3.0,1,20220413.0,20230804.0,20221207.0
34,3467,0,0.044863003281660714,0,2,5.441095890410959,759.7,33,7,4,9,1.0,2.0,9,4.0,0,3.0,1.0,0,20200506.0,20230627.0,20230224.0
35,3468,0,0.05425308202941062,0,2,6.098630136986301,180.63,21,23,4,4,4.0,3.0,9,3.0,1,1.0,3.0,2,20190909.0,20230205.0,20230510.0
36,3471,0,0.14097049068923717,0,2,5.624657534246575,109.98,53,6,4,1,4.0,1.0,23,2.0,0,4.0,3.0,1,20200229.0,20230430.0,20230323.0
37,3472,0,0.06273045520425663,0,2,2.745205479452055,537.24,41,14,4,7,4.0,4.0,23,5.0,3,5.0,5.0,1,20230115.0,20230726.0,20230212.0
38,3473,0,0.03212615144727836,0,2,2.293150684931507,789.99,73,18,4,2,2.0,4.0,3,3.0,2,4.0,5.0,3,20230629.0,20230628.0,20221206.0
39,3474,0,0.012983727203602436,0,2,5.6,155.51,55,2,4,3,2.0,2.0,3,3.0,3,1.0,5.0,0,20200309.0,20230509.0,20220901.0
40,3475,0,0.017180304677984554,0,2,4.063013698630137,648.76,64,9,4,8,2.0,4.0,8,4.0,0,3.0,2.0,3,20210921.0,20230125.0,20221102.0
41,3476,0,0.05759868599530451,0,2,2.33972602739726,533.5,78,7,4,6,2.0,3.0,10,5.0,0,5.0,4.0,0,20230612.0,20230303.0,20221118.0
42,3477,0,0.086817445352453,0,2,6.523287671232877,429.48,50,0,2,6,2.0,1.0,9,1.0,0,2.0,5.0,3,20190407.0,20221205.0,20221107.0
43,3478,0,0.03501990935198303,0,2,7.076712328767123,526.74,61,23,4,9,2.0,1.0,9,3.0,2,4.0,1.0,1,20180917.0,20221129.0,20221005.0
44,3479,0,0.061543720291345624,0,2,3.2,443.45,60,14,4,4,2.0,4.0,23,4.0,2,4.0,3.0,3,20220802.0,20221103.0,20230118.0
45,3483,0,0.03269007184889172,0,2,4.049315068493151,111.96,57,14,4,7,1.0,5.0,3,1.0,0,4.0,4.0,3,20210926.0,20221023.0,20220810.0
46,3484,0,0.060084345075388325,0,2,7.1287671232876715,795.7,23,9,4,2,4.0,4.0,3,1.0,3,2.0,1.0,2,20180829.0,20220916.0,20230627.0
47,3485,0,0.05083012822469067,0,2,3.967123287671233,796.45,27,6,4,3,5.0,3.0,3,2.0,4,1.0,2.0,3,20211026.0,20230507.0,20220807.0
48,3486,0,0.06499892383913485,0,2,2.9534246575342467,812.59,32,7,4,8,4.0,1.0,8,3.0,3,1.0,5.0,3,20221031.0,20220827.0,20230723.0
49,3487,0,0.057310696478624086,0,2,2.5835616438356164,132.97,29,11,4,0,4.0,1.0,9,5.0,3,4.0,5.0,0,20230315.0,20220923.0,20230717.0
50,3488,0,0.06479032385528505,0,2,3.095890410958904,308.19,25,23,4,1,2.0,1.0,9,1.0,0,5.0,1.0,2,20220909.0,20230311.0,20220920.0
51,3489,0,0.09813342745912024,0,2,3.6136986301369864,131.41,69,6,4,2,2.0,5.0,23,2.0,1,4.0,1.0,0,20220304.0,20221203.0,20230702.0
52,3490,0,0.06461223936789841,0,2,6.673972602739726,389.59,28,11,4,3,2.0,2.0,23,5.0,2,3.0,3.0,0,20190211.0,20221012.0,20230719.0
53,3491,0,0.12225946871473713,0,2,4.715068493150685,442.56,48,6,4,4,5.0,5.0,23,3.0,4,4.0,3.0,3,20210126.0,20220910.0,20230714.0
54,3492,0,0.019287351426704066,0,2,5.884931506849315,327.66,26,9,4,5,1.0,5.0,3,1.0,0,5.0,3.0,1,20191126.0,20230113.0,20220906.0
55,3493,0,0.041721367528537855,0,2,6.252054794520548,400.95,35,14,4,6,5.0,5.0,3,3.0,0,1.0,3.0,3,20190715.0,20230402.0,20230219.0
56,3494,0,0.03176806588824967,0,2,5.323287671232877,910.45,26,9,4,7,4.0,1.0,3,1.0,1,2.0,2.0,2,20200618.0,20221215.0,20230211.0
57,3495,0,0.06651587979767216,0,2,2.3123287671232875,701.55,30,23,4,8,4.0,5.0,8,4.0,3,3.0,1.0,1,20230622.0,20220908.0,20221221.0
58,3496,0,0.05641341018536636,0,2,3.8657534246575342,806.87,57,11,4,9,5.0,2.0,2,1.0,3,3.0,1.0,3,20211202.0,20221226.0,20230216.0
59,3497,0,0.055501578714568185,0,2,3.8493150684931505,184.21,40,14,4,8,1.0,4.0,19,2.0,2,3.0,2.0,3,20211208.0,20220918.0,20230311.0
60,3498,0,0.03245958722967028,0,2,2.4684931506849317,208.43,25,11,4,6,2.0,4.0,9,3.0,4,3.0,1.0,3,20230426.0,20230619.0,20230530.0
61,3499,0,0.06866531286814052,0,2,7.054794520547945,762.45,47,6,4,9,5.0,5.0,9,5.0,0,3.0,2.0,3,20180925.0,20230721.0,20230130.0
62,3500,0,0.09359037610424702,0,2,6.901369863013699,779.79,18,18,4,4,1.0,4.0,23,4.0,4,1.0,4.0,0,20181120.0,20230514.0,20230615.0
63,3502,0,0.07482639475161497,0,2,6.038356164383561,427.12,43,19,4,0,1.0,5.0,23,5.0,4,3.0,3.0,1,20191001.0,20230424.0,20230103.0
64,3503,0,0.04067064741241156,0,2,3.7315068493150685,996.35,71,14,4,1,4.0,3.0,3,5.0,3,2.0,4.0,2,20220120.0,20230128.0,20230220.0
65,3504,0,0.01312074369151681,0,2,4.010958904109589,963.23,41,9,4,7,2.0,3.0,3,3.0,2,4.0,5.0,1,20211010.0,20230420.0,20230602.0
66,3505,0,0.022396002695290355,0,2,5.126027397260274,260.97,77,6,4,2,1.0,2.0,8,4.0,2,3.0,5.0,3,20200829.0,20221110.0,20220913.0
67,3506,0,0.01856564097350833,0,2,6.134246575342465,781.81,31,6,4,3,2.0,3.0,8,2.0,3,2.0,1.0,1,20190827.0,20230627.0,20230521.0
68,3507,0,0.022851785382044514,0,2,4.632876712328767,651.77,48,14,4,8,4.0,2.0,2,2.0,4,5.0,4.0,2,20210225.0,20230331.0,20230525.0
69,3508,0,0.09061951846750381,0,2,4.254794520547946,568.22,79,0,4,1,5.0,4.0,19,1.0,0,5.0,1.0,2,20210713.0,20230417.0,20230404.0
70,3509,0,0.020333247326298435,0,2,4.501369863013698,612.1,44,11,4,0,2.0,2.0,9,4.0,1,5.0,4.0,1,20210414.0,20221203.0,20230304.0
71,3510,0,0.010865798415746291,0,2,5.676712328767123,473.23,64,9,4,6,2.0,3.0,9,2.0,2,4.0,4.0,1,20200210.0,20220822.0,20221027.0
72,3511,0,0.048215558588167715,0,2,4.158904109589041,344.44,24,8,4,9,4.0,5.0,9,5.0,0,4.0,3.0,0,20210817.0,20230511.0,20230407.0
73,3514,0,0.09756535427133789,0,2,5.498630136986302,975.46,62,23,4,0,1.0,1.0,23,2.0,0,1.0,3.0,1,20200415.0,20220825.0,20230221.0
74,3516,0,0.0122207309653533,0,2,3.5205479452054793,570.42,34,14,4,7,5.0,5.0,3,2.0,0,3.0,1.0,0,20220407.0,20221115.0,20230622.0
75,3517,0,0.038451193101314445,0,2,5.652054794520548,391.31,78,19,4,2,4.0,1.0,8,4.0,2,1.0,3.0,3,20200219.0,20230101.0,20220917.0
76,3518,0,0.016936594489770786,0,2,4.512328767123288,826.58,52,10,4,3,2.0,5.0,2,4.0,2,2.0,3.0,1,20210410.0,20230513.0,20230627.0
77,3519,0,0.022908902868891298,0,2,3.819178082191781,930.69,70,0,4,8,2.0,4.0,2,1.0,2,3.0,4.0,3,20211219.0,20230610.0,20221211.0
78,3520,0,0.03392635286034414,0,2,4.835616438356165,607.93,57,14,4,8,1.0,1.0,14,5.0,1,1.0,1.0,0,20201213.0,20220917.0,20220911.0
79,3521,0,0.08077238926879068,0,2,6.632876712328767,723.5,70,9,4,9,4.0,3.0,9,1.0,0,3.0,5.0,0,20190226.0,20220919.0,20230228.0
80,3522,0,0.03882832016209142,0,2,5.619178082191781,394.04,37,19,4,0,1.0,4.0,9,1.0,3,5.0,5.0,2,20200302.0,20230714.0,20230505.0
81,3523,0,0.014271720146868491,0,2,4.304109589041096,451.18,43,9,4,1,2.0,3.0,9,3.0,3,2.0,2.0,2,20210625.0,20230227.0,20230710.0
82,3526,0,0.16029437459794657,0,2,3.0794520547945203,360.5,74,9,4,4,4.0,3.0,23,1.0,4,5.0,2.0,3,20220915.0,20230128.0,20221015.0
83,3527,0,0.007494313204092522,0,2,5.454794520547945,396.28,46,0,4,5,1.0,2.0,3,1.0,1,3.0,4.0,1,20200501.0,20230227.0,20230106.0
84,3528,0,0.031094077019151838,0,2,3.0027397260273974,465.96,31,8,4,6,2.0,2.0,3,5.0,2,2.0,1.0,3,20221013.0,20230527.0,20230302.0
85,3529,0,0.009341027943206605,0,2,5.780821917808219,515.56,26,6,4,7,2.0,4.0,8,2.0,2,3.0,1.0,2,20200103.0,20230715.0,20220904.0
86,3530,0,0.022316510612968278,0,2,5.920547945205479,496.85,26,6,4,8,2.0,5.0,2,1.0,1,2.0,2.0,3,20191113.0,20221127.0,20230118.0
87,3531,0,0.03140490811914232,0,2,2.326027397260274,629.46,80,14,4,9,1.0,4.0,2,2.0,1,4.0,3.0,0,20230617.0,20230224.0,20221130.0
88,3532,0,0.05932206300291368,0,2,4.0,771.61,55,22,2,2,1.0,5.0,19,2.0,1,2.0,2.0,3,20211014.0,20221008.0,20230502.0
89,3533,0,0.057754255251349564,0,2,4.36986301369863,418.4,55,11,4,3,2.0,2.0,14,2.0,4,5.0,4.0,1,20210601.0,20230108.0,20230511.0
90,3534,0,0.0579648121604708,0,2,7.0849315068493155,900.96,59,4,4,8,4.0,2.0,9,4.0,0,3.0,3.0,2,20180914.0,20230414.0,20230521.0
91,3535,0,0.07536933931607505,0,2,6.843835616438356,936.96,24,7,4,6,4.0,1.0,9,1.0,1,5.0,1.0,2,20181211.0,20221101.0,20230625.0
92,3536,0,0.04136638982792686,0,2,3.1890410958904107,269.03,33,11,4,9,2.0,4.0,6,1.0,1,2.0,5.0,2,20220806.0,20221009.0,20221123.0
93,3539,0,0.05059691810204847,0,2,5.852054794520548,234.77,36,9,4,0,5.0,4.0,3,3.0,2,3.0,4.0,2,20191208.0,20230206.0,20230317.0
94,3540,0,0.030978610137711346,0,2,5.5917808219178085,903.46,37,19,4,1,4.0,3.0,3,2.0,4,2.0,2.0,3,20200312.0,20230625.0,20221026.0
95,3541,0,0.01667216698509852,0,2,5.523287671232877,380.3,29,6,4,7,2.0,3.0,8,1.0,1,3.0,4.0,1,20200406.0,20221128.0,20230522.0
96,3542,0,0.016128051269798823,0,2,2.4986301369863013,511.42,75,6,4,2,1.0,4.0,8,2.0,4,3.0,4.0,1,20230415.0,20221018.0,20220822.0
97,3543,0,0.0179140669705701,0,2,4.926027397260274,171.03,39,9,4,3,2.0,5.0,2,4.0,1,5.0,4.0,2,20201110.0,20230211.0,20230521.0
98,3544,0,0.06437891274112152,0,2,2.293150684931507,842.93,23,0,4,8,2.0,3.0,2,3.0,0,5.0,3.0,2,20230629.0,20220914.0,20230502.0
99,3545,0,0.1164104943024499,0,2,3.6054794520547944,581.12,79,6,2,2,1.0,2.0,19,2.0,1,5.0,5.0,3,20220307.0,20230527.0,20230504.0
100,3546,0,0.03727059161605731,0,2,4.205479452054795,426.45,41,9,4,1,1.0,5.0,14,2.0,2,5.0,4.0,3,20210731.0,20230510.0,20221121.0
101,3547,0,0.031793747962663474,0,2,3.7315068493150685,805.05,75,15,4,0,2.0,2.0,9,2.0,3,4.0,4.0,1,20220120.0,20221224.0,20230424.0
102,3548,0,0.0386250626143311,0,2,4.260273972602739,368.8,57,9,4,9,1.0,3.0,9,5.0,4,5.0,3.0,2,20210711.0,20221006.0,20220816.0
103,3549,0,0.037042529410699354,0,2,7.0,788.67,63,6,4,8,2.0,1.0,6,1.0,1,4.0,5.0,0,20181015.0,20230419.0,20221102.0
104,3551,0,0.1048680210222905,0,2,7.178082191780822,570.13,64,4,4,6,4.0,3.0,23,4.0,1,4.0,1.0,1,20180811.0,20230603.0,20221027.0
105,3552,0,0.024554761193255167,0,2,5.66027397260274,480.87,78,6,4,5,1.0,2.0,3,3.0,4,4.0,4.0,2,20200216.0,20221014.0,20221126.0
106,3553,0,0.027499908000065024,0,2,5.734246575342466,689.48,71,6,4,4,4.0,4.0,3,4.0,1,2.0,5.0,0,20200120.0,20221030.0,20221211.0
107,3554,0,0.03587001340479074,0,2,6.542465753424658,283.33,61,13,4,3,1.0,2.0,8,2.0,0,1.0,4.0,3,20190331.0,20230607.0,20230605.0
108,3555,0,0.03197504371506988,0,2,2.76986301369863,566.12,35,10,4,2,4.0,1.0,8,2.0,2,5.0,4.0,3,20230106.0,20230113.0,20230304.0
109,3556,0,0.020420181336342314,0,2,6.243835616438356,513.92,58,23,4,1,2.0,3.0,2,2.0,4,2.0,1.0,2,20190718.0,20230611.0,20230211.0
110,3557,0,0.0890508598202728,0,2,6.668493150684932,210.38,59,6,4,0,2.0,2.0,10,4.0,3,5.0,1.0,2,20190213.0,20230420.0,20230204.0
111,3558,0,0.23568684900711376,0,22,6.791780821917809,941.54,59,24,3,3,1.0,3.0,10,2.0,1,5.0,1.0,2,20181230.0,20221005.0,20230718.0
112,3559,0,0.30200405032425726,0,22,5.93972602739726,959.81,28,6,3,4,2.0,1.0,10,3.0,4,2.0,2.0,2,20191106.0,20221227.0,20221130.0
113,3560,0,0.26160957784097855,0,22,3.3698630136986303,738.92,68,6,3,3,4.0,5.0,10,2.0,0,4.0,1.0,0,20220601.0,20230109.0,20230522.0
114,3561,0,0.40260077379714415,0,23,2.547945205479452,445.04,64,9,3,0,5.0,5.0,10,2.0,4,1.0,5.0,1,20230328.0,20221120.0,20220907.0
115,3563,0,0.3586616766088714,0,22,6.786301369863014,886.9,73,6,3,9,4.0,3.0,10,4.0,1,1.0,4.0,3,20190101.0,20230131.0,20230406.0
116,3564,1,0.6171764601922785,1,23,6.717808219178083,106.14,25,0,3,7,1.0,3.0,10,4.0,4,4.0,4.0,0,20190126.0,20230312.0,20221210.0
117,3565,0,0.3172229887833614,0,22,4.090410958904109,684.35,53,9,3,9,4.0,5.0,10,5.0,3,5.0,4.0,0,20210911.0,20220929.0,20230506.0
118,3566,0,0.3288019649239354,0,23,4.049315068493151,578.81,58,0,3,5,2.0,3.0,10,1.0,1,2.0,2.0,2,20210926.0,20230127.0,20220905.0
119,3567,0,0.28913743601037295,0,22,2.6136986301369864,764.51,57,11,3,2,4.0,2.0,10,2.0,0,3.0,5.0,3,20230304.0,20230804.0,20230609.0
120,3568,1,0.5305522185186888,1,22,2.26027397260274,201.76,49,6,3,2,2.0,1.0,10,2.0,0,4.0,2.0,0,20230711.0,20230207.0,20220823.0
121,3569,0,0.251659767571302,0,22,6.67945205479452,730.04,24,2,3,3,2.0,5.0,10,1.0,2,3.0,4.0,0,20190209.0,20221224.0,20221109.0
122,3570,1,0.4522773304819271,1,23,6.49041095890411,796.88,45,7,3,8,1.0,3.0,10,2.0,0,5.0,2.0,1,20190419.0,20230102.0,20230329.0
123,3571,1,0.6090854791986438,1,22,3.271232876712329,834.44,75,6,3,4,4.0,5.0,10,4.0,4,1.0,3.0,3,20220707.0,20221123.0,20230804.0
124,3572,0,0.3465953135925269,0,22,6.594520547945206,569.17,25,7,3,9,5.0,5.0,10,5.0,4,5.0,5.0,2,20190312.0,20221205.0,20230519.0
125,3573,0,0.3476325545403281,0,22,5.6,386.07,37,6,3,4,4.0,1.0,10,4.0,0,1.0,4.0,0,20200309.0,20221231.0,20221006.0
126,3636,1,0.4938616297154774,0,22,5.7095890410958905,795.72,38,2,3,4,3.0,3.0,10,3.0,0,5.0,3.0,0,20200129.0,20221208.0,20220826.0
127,3575,1,0.5706632692589958,1,22,4.463013698630137,583.21,34,6,3,3,5.0,5.0,10,5.0,2,1.0,3.0,2,20210428.0,20230626.0,20221212.0
128,3576,0,0.36838658755984144,0,23,4.232876712328767,398.65,29,4,3,5,4.0,3.0,10,2.0,0,3.0,5.0,2,20210721.0,20230323.0,20230202.0
129,3577,0,0.436517243786483,0,22,6.082191780821918,931.46,62,6,3,0,4.0,5.0,10,5.0,4,4.0,5.0,3,20190915.0,20220814.0,20230126.0
130,3578,0,0.3110629364024972,0,22,6.449315068493151,115.06,62,6,3,9,2.0,2.0,10,1.0,2,4.0,5.0,1,20190504.0,20221014.0,20221201.0
131,3579,1,0.48413489981730057,0,23,4.402739726027397,199.82,75,6,3,0,4.0,3.0,10,5.0,0,3.0,2.0,3,20210520.0,20230427.0,20230427.0
132,3580,0,0.39280454055527775,0,22,5.83013698630137,940.2,77,6,3,6,4.0,3.0,10,2.0,3,4.0,5.0,1,20191216.0,20221021.0,20221104.0
133,3581,0,0.21131040270016146,0,22,4.898630136986301,122.07,77,23,3,7,2.0,4.0,10,3.0,3,4.0,1.0,0,20201120.0,20220829.0,20230129.0
134,3582,0,0.3382537810024968,0,22,5.153424657534247,875.02,52,24,3,8,4.0,5.0,10,2.0,0,2.0,4.0,3,20200819.0,20220917.0,20220909.0
135,3583,0,0.3902190062358543,0,22,4.463013698630137,116.4,63,6,3,9,4.0,4.0,10,4.0,4,1.0,4.0,1,20210428.0,20230705.0,20230318.0
136,3584,0,0.364404716570174,0,22,5.167123287671233,341.78,33,6,3,0,4.0,5.0,10,2.0,3,2.0,5.0,1,20200814.0,20230528.0,20221215.0
137,3585,0,0.28171906805668984,0,22,3.8109589041095893,107.48,29,24,3,1,4.0,3.0,10,1.0,1,2.0,4.0,0,20211222.0,20230112.0,20230214.0
138,3586,0,0.2492616528497738,0,22,6.701369863013698,502.7,19,13,3,2,2.0,4.0,10,4.0,2,2.0,1.0,2,20190201.0,20230131.0,20220930.0
139,3587,0,0.21209682176284045,0,22,4.4301369863013695,570.04,44,10,3,3,2.0,2.0,10,1.0,3,2.0,5.0,0,20210510.0,20230524.0,20230322.0
140,3588,0,0.2909291414455272,0,22,6.306849315068493,538.83,47,18,3,4,2.0,1.0,10,4.0,1,2.0,1.0,3,20190625.0,20230510.0,20230323.0
141,3589,0,0.27326132293329713,0,22,6.473972602739726,881.8,68,6,3,5,1.0,2.0,10,2.0,4,3.0,4.0,2,20190425.0,20220918.0,20230107.0
142,3593,0,0.28924734467630625,0,22,5.375342465753425,258.07,71,9,3,9,1.0,3.0,10,4.0,0,4.0,3.0,1,20200530.0,20221007.0,20230615.0
143,3594,0,0.31475350765888394,0,22,6.843835616438356,472.64,50,6,3,6,1.0,1.0,10,1.0,1,5.0,5.0,1,20181211.0,20230123.0,20230505.0
144,3595,0,0.25620139532126773,0,22,5.06027397260274,252.88,68,4,3,9,1.0,1.0,10,2.0,3,3.0,2.0,0,20200922.0,20230119.0,20230221.0
145,3596,0,0.18743171605097556,0,22,6.2164383561643834,289.68,37,19,3,4,2.0,4.0,10,4.0,3,3.0,2.0,2,20190728.0,20221019.0,20221214.0
146,3598,1,0.6534545089588587,1,23,7.046575342465753,373.87,68,15,3,7,1.0,4.0,10,2.0,3,5.0,3.0,1,20180928.0,20230701.0,20221011.0
147,3599,0,0.3725207103987032,0,23,5.506849315068493,918.86,70,9,3,8,2.0,2.0,10,4.0,4,4.0,5.0,0,20200412.0,20230302.0,20230302.0
148,3600,0,0.3732580385637576,0,23,2.9506849315068493,299.7,73,6,3,9,2.0,4.0,10,2.0,4,1.0,4.0,2,20221101.0,20230704.0,20221101.0
149,3601,0,0.3876210163922115,0,23,2.8958904109589043,865.58,56,23,3,0,5.0,2.0,10,1.0,4,1.0,1.0,1,20221121.0,20220901.0,20230103.0
150,3602,1,0.6259477965534785,1,23,4.50958904109589,632.59,27,4,3,1,5.0,3.0,10,3.0,2,3.0,1.0,1,20210411.0,20230804.0,20230409.0
151,3603,1,0.48470694501461264,1,23,6.876712328767123,680.48,41,6,3,2,2.0,3.0,10,5.0,4,1.0,3.0,1,20181129.0,20221008.0,20221002.0
152,3604,1,0.549026801995647,0,23,6.745205479452054,287.71,71,6,3,3,4.0,4.0,10,3.0,2,5.0,3.0,0,20190116.0,20221215.0,20230323.0
153,3605,0,0.405047811233041,0,22,6.073972602739726,102.92,76,4,3,1,4.0,3.0,10,5.0,3,1.0,2.0,0,20190918.0,20230709.0,20221117.0
154,3606,1,0.6454942738777855,1,22,6.205479452054795,255.6,54,1,3,7,3.0,1.0,10,3.0,3,5.0,2.0,0,20190801.0,20230327.0,20221031.0
155,3607,0,0.42807847889842343,0,22,6.326027397260274,321.91,43,14,3,2,5.0,1.0,10,2.0,3,4.0,4.0,1,20190618.0,20230718.0,20230504.0
156,3608,0,0.44455055803112414,0,22,6.668493150684932,834.12,40,6,3,3,3.0,1.0,10,1.0,3,3.0,3.0,1,20190213.0,20230112.0,20230314.0
157,3609,0,0.3639855807221483,0,22,4.367123287671233,273.88,28,18,3,8,3.0,4.0,10,2.0,3,2.0,4.0,3,20210602.0,20221105.0,20220923.0
158,3610,0,0.34350576308841374,0,22,7.010958904109589,217.57,45,6,3,6,3.0,5.0,10,4.0,3,5.0,4.0,2,20181011.0,20221214.0,20230215.0
159,3611,0,0.2253501190092517,0,22,4.6,482.09,69,14,3,9,2.0,4.0,10,2.0,2,3.0,1.0,1,20210309.0,20220916.0,20230107.0
160,3612,0,0.37996685067861835,0,22,3.723287671232877,614.11,38,6,3,4,4.0,3.0,10,5.0,1,3.0,2.0,2,20220123.0,20230707.0,20230703.0
161,3613,0,0.39275164034974624,0,22,6.638356164383562,354.22,46,6,3,5,1.0,2.0,10,1.0,0,5.0,1.0,1,20190224.0,20221013.0,20221008.0
162,3614,0,0.3625380271038719,0,22,5.767123287671233,868.85,47,14,3,0,2.0,1.0,10,4.0,4,5.0,3.0,1,20200108.0,20230704.0,20230604.0
