employee_id,title,business_unit,department_type,division,state,gender_code,race_desc,marital_desc,age
3471,Area Sales Manager,CCDR,Sales,Field Operations,TX,Male,Asian,Married,53
3472,Area Sales Manager,SVG,Sales,Project Management - Con,TX,Male,Other,Married,41
3473,Area Sales Manager,EW,Sales,Shop (Fleet),CO,Male,Hispanic,Widowed,73
3474,Area Sales Manager,MSC,Sales,Catv,CO,Male,Other,Divorced,55
3475,Area Sales Manager,TNS,Sales,General - Con,IN,Male,Asian,Widowed,64
3476,Area Sales Manager,PYZ,Sales,Fielders,MA,Male,Asian,Divorced,78
3477,Area Sales Manager,PYZ,IT/IS,Aerial,KY,Female,Asian,Widowed,50
3478,Area Sales Manager,WBL,Sales,Wireline Construction,KY,Female,Hispanic,Married,61
3479,Area Sales Manager,NEL,Sales,Project Management - Con,TX,Female,Hispanic,Widowed,60
3483,Area Sales Manager,SVG,Sales,Project Management - Con,CO,Male,Asian,Widowed,57
3484,Area Sales Manager,EW,Sales,General - Con,CO,Male,Other,Single,23
3485,Area Sales Manager,MSC,Sales,Field Operations,CO,Male,White,Widowed,27
3486,Area Sales Manager,TNS,Sales,Fielders,IN,Male,Other,Widowed,32
3487,Area Sales Manager,BPC,Sales,General - Sga,KY,Female,Other,Divorced,29
3488,Area Sales Manager,CCDR,Sales,Wireline Construction,KY,Female,Asian,Single,25
3489,Area Sales Manager,EW,Sales,Field Operations,TX,Female,Black,Divorced,69
3490,Area Sales Manager,MSC,Sales,General - Sga,TX,Female,Hispanic,Divorced,28
3491,Area Sales Manager,NEL,Sales,Field Operations,TX,Male,White,Widowed,48
3492,Area Sales Manager,PL,Sales,General - Con,CO,Male,Asian,Married,26
3493,Area Sales Manager,PYZ,Sales,Project Management - Con,CO,Male,Asian,Widowed,35
3494,Area Sales Manager,SVG,Sales,General - Con,CO,Male,Black,Single,26
3495,Area Sales Manager,TNS,Sales,Wireline Construction,IN,Male,Other,Married,30
3496,Area Sales Manager,WBL,Sales,General - Sga,CA,Male,Other,Widowed,57
3497,Area Sales Manager,TNS,Sales,Project Management - Con,OR,Female,Hispanic,Widowed,40
3498,Area Sales Manager,PYZ,Sales,General - Sga,KY,Female,White,Widowed,25
3499,Area Sales Manager,WBL,Sales,Field Operations,KY,Female,Asian,Widowed,47
3500,Area Sales Manager,NEL,Sales,Shop (Fleet),TX,Female,White,Divorced,18
3502,Area Sales Manager,BPC,Sales,Splicing,TX,Male,White,Married,43
3503,Area Sales Manager,CCDR,Sales,Project Management - Con,CO,Male,Other,Single,71
3504,Area Sales Manager,SVG,Sales,General - Con,CO,Male,Hispanic,Married,41
3505,Area Sales Manager,EW,Sales,Field Operations,IN,Male,Hispanic,Widowed,77
3506,Area Sales Manager,MSC,Sales,Field Operations,IN,Male,Other,Married,31
3507,Area Sales Manager,TNS,Sales,Project Management - Con,CA,Male,White,Single,48
3508,Area Sales Manager,CCDR,Sales,Aerial,OR,Male,Asian,Single,79
3509,Area Sales Manager,BPC,Sales,General - Sga,KY,Female,Black,Married,44
3510,Area Sales Manager,PYZ,Sales,General - Con,KY,Female,Hispanic,Married,64
3511,Area Sales Manager,WBL,Sales,Finance & Accounting,KY,Female,Asian,Divorced,24
3514,Area Sales Manager,BPC,Sales,Wireline Construction,TX,Male,Asian,Married,62
3516,Area Sales Manager,SVG,Sales,Project Management - Con,CO,Male,Asian,Divorced,34
3517,Area Sales Manager,EW,Sales,Splicing,IN,Male,Hispanic,Widowed,78
3518,Area Sales Manager,MSC,Sales,General - Eng,CA,Female,Hispanic,Married,52
3519,Area Sales Manager,TNS,Sales,Aerial,CA,Male,Hispanic,Widowed,70
3520,Area Sales Manager,TNS,Sales,Project Management - Con,ND,Female,Black,Divorced,57
3521,Area Sales Manager,WBL,Sales,General - Con,KY,Female,Asian,Divorced,70
3522,Area Sales Manager,BPC,Sales,Splicing,KY,Female,Other,Single,37
3523,Area Sales Manager,CCDR,Sales,General - Con,KY,Female,Other,Single,43
3526,Area Sales Manager,NEL,Sales,General - Con,TX,Male,White,Widowed,74
3527,Area Sales Manager,PL,Sales,Aerial,CO,Male,Black,Married,46
3528,Area Sales Manager,PYZ,Sales,Finance & Accounting,CO,Male,Hispanic,Widowed,31
3529,Area Sales Manager,SVG,Sales,Field Operations,IN,Male,Hispanic,Single,26
3530,Area Sales Manager,TNS,Sales,Field Operations,CA,Female,Black,Widowed,26
3531,Area Sales Manager,WBL,Sales,Project Management - Con,CA,Male,Black,Divorced,80
3532,Area Sales Manager,EW,IT/IS,Wireless,OR,Female,Black,Widowed,55
3533,Area Sales Manager,MSC,Sales,General - Sga,ND,Male,White,Married,55
3534,Area Sales Manager,TNS,Sales,Engineers,KY,Female,Asian,Single,59
3535,Area Sales Manager,PYZ,Sales,Fielders,KY,Female,Black,Single,24
3536,Area Sales Manager,WBL,Sales,General - Sga,GA,Female,Black,Single,33
3539,Area Sales Manager,BPC,Sales,General - Con,CO,Male,Hispanic,Single,36
3540,Area Sales Manager,CCDR,Sales,Splicing,CO,Male,White,Widowed,37
3541,Area Sales Manager,SVG,Sales,Field Operations,IN,Male,Black,Married,29
3542,Area Sales Manager,EW,Sales,Field Operations,IN,Male,White,Married,75
3543,Area Sales Manager,MSC,Sales,General - Con,CA,Female,Black,Single,39
3544,Area Sales Manager,TNS,Sales,Aerial,CA,Male,Asian,Single,23
3545,Area Sales Manager,EW,IT/IS,Field Operations,OR,Female,Black,Widowed,79
3546,Area Sales Manager,CCDR,Sales,General - Con,ND,Male,Hispanic,Widowed,41
3547,Area Sales Manager,BPC,Sales,Project Management - Eng,KY,Female,Other,Married,75
3548,Area Sales Manager,WBL,Sales,General - Con,KY,Female,White,Single,57
3549,Area Sales Manager,TNS,Sales,Field Operations,GA,Female,Black,Divorced,63
3551,Area Sales Manager,PYZ,Sales,Engineers,TX,Male,Black,Married,64
3552,Area Sales Manager,PL,Sales,Field Operations,CO,Male,White,Single,78
3553,Area Sales Manager,NEL,Sales,Field Operations,CO,Male,Black,Divorced,71
3554,Area Sales Manager,MSC,Sales,People Services,IN,Male,Asian,Widowed,61
3555,Area Sales Manager,EW,Sales,General - Eng,IN,Female,Hispanic,Widowed,35
3556,Area Sales Manager,CCDR,Sales,Wireline Construction,CA,Male,White,Single,58
3557,Area Sales Manager,BPC,Sales,Field Operations,MA,Male,Other,Single,59
3558,Production Technician I,MSC,Production       ,Yard (Material Handling),MA,Female,Black,Single,59
3559,Production Technician I,NEL,Production       ,Field Operations,MA,Male,White,Single,28
3560,Production Technician I,MSC,Production       ,Field Operations,MA,Female,Asian,Divorced,68
3561,Production Technician II,BPC,Production       ,General - Con,MA,Female,White,Married,64
3563,Production Technician I,WBL,Production       ,Field Operations,MA,Male,Black,Widowed,73
3564,Production Technician II,SVG,Production       ,Aerial,MA,Female,White,Divorced,25
3565,Production Technician I,WBL,Production       ,General - Con,MA,Male,Other,Divorced,53
3566,Production Technician II,PL,Production       ,Aerial,MA,Male,Black,Single,58
3567,Production Technician I,EW,Production       ,General - Sga,MA,Male,Asian,Widowed,57
3568,Production Technician I,EW,Production       ,Field Operations,MA,Male,Asian,Divorced,49
3569,Production Technician I,MSC,Production       ,Catv,MA,Female,Hispanic,Divorced,24
3570,Production Technician II,TNS,Production       ,Fielders,MA,Female,Asian,Married,45
3571,Production Technician I,NEL,Production       ,Field Operations,MA,Female,White,Widowed,75
3572,Production Technician I,WBL,Production       ,Fielders,MA,Male,White,Single,25
3573,Production Technician I,NEL,Production       ,Field Operations,MA,Female,Asian,Divorced,37
3636,Production Technician I,NEL,Production       ,Catv,MA,Male,Asian,Divorced,38
3575,Production Technician I,MSC,Production       ,Field Operations,MA,Male,Hispanic,Single,34
3576,Production Technician II,PL,Production       ,Engineers,MA,Female,Asian,Single,29
3577,Production Technician I,BPC,Production       ,Field Operations,MA,Male,White,Widowed,62
3578,Production Technician I,WBL,Production       ,Field Operations,MA,Male,Hispanic,Married,62
3579,Production Technician II,BPC,Production       ,Field Operations,MA,Female,Asian,Widowed,75
3580,Production Technician I,PYZ,Production       ,Field Operations,MA,Male,Other,Married,77
3581,Production Technician I,SVG,Production       ,Wireline Construction,MA,Male,Other,Divorced,77
3582,Production Technician I,TNS,Production       ,Yard (Material Handling),MA,Male,Asian,Widowed,52
3583,Production Technician I,WBL,Production       ,Field Operations,MA,Female,White,Married,63
3584,Production Technician I,BPC,Production       ,Field Operations,MA,Female,Other,Married,33
3585,Production Technician I,CCDR,Production       ,Yard (Material Handling),MA,Female,Black,Divorced,29
3586,Production Technician I,EW,Production       ,People Services,MA,Female,Hispanic,Single,19
3587,Production Technician I,MSC,Production       ,General - Eng,MA,Male,Other,Divorced,44
3588,Production Technician I,NEL,Production       ,Shop (Fleet),MA,Male,Black,Widowed,47
3589,Production Technician I,PL,Production       ,Field Operations,MA,Male,White,Single,68
3593,Production Technician I,WBL,Production       ,General - Con,MA,Male,Asian,Married,71
3594,Production Technician I,PYZ,Production       ,Field Operations,MA,Male,Black,Married,50
3595,Production Technician I,WBL,Production       ,Engineers,MA,Male,Other,Divorced,68
3596,Production Technician I,NEL,Production       ,Splicing,MA,Male,Other,Single,37
3598,Production Technician II,SVG,Production       ,Project Management - Eng,MA,Female,Other,Married,68
3599,Production Technician II,TNS,Production       ,General - Con,MA,Female,White,Divorced,70
3600,Production Technician II,WBL,Production       ,Field Operations,MA,Female,White,Single,73
3601,Production Technician II,BPC,Production       ,Wireline Construction,MA,Female,White,Married,56
3602,Production Technician II,CCDR,Production       ,Engineers,MA,Female,Hispanic,Married,27
3603,Production Technician II,EW,Production       ,Field Operations,MA,Female,White,Married,41
3604,Production Technician II,MSC,Production       ,Field Operations,MA,Female,Hispanic,Divorced,71
3605,Production Technician I,CCDR,Production       ,Engineers,MA,Male,Other,Divorced,76
3606,Production Technician I,SVG,Production       ,Billable Consultants,MA,Male,Other,Divorced,54
3607,Production Technician I,EW,Production       ,Project Management - Con,MA,Male,Other,Married,43
3608,Production Technician I,MSC,Production       ,Field Operations,MA,Male,Other,Married,40
3609,Production Technician I,TNS,Production       ,Shop (Fleet),MA,Female,Other,Widowed,28
3610,Production Technician I,PYZ,Production       ,Field Operations,MA,Female,Other,Single,45
3611,Production Technician I,WBL,Production       ,Project Management - Con,MA,Female,Hispanic,Married,69
3612,Production Technician I,NEL,Production       ,Field Operations,MA,Male,Black,Single,38
3613,Production Technician I,PL,Production       ,Field Operations,MA,Male,Asian,Married,46
3614,Production Technician I,BPC,Production       ,Project Management - Con,MA,Male,White,Married,47
3616,Production Technician I,SVG,Production       ,General - Con,MA,Female,Hispanic,Married,41
3617,Production Technician I,EW,Production       ,Wireline Construction,MA,Female,Hispanic,Married,62
3618,Production Technician I,MSC,Production       ,Splicing,MA,Male,Black,Married,79
3619,Production Technician I,TNS,Production       ,General - Con,MA,Male,Asian,Married,39
3620,Production Technician I,PYZ,Production       ,General - Eng,MA,Male,Hispanic,Married,29
3621,Production Technician I,WBL,Production       ,Wireless,MA,Male,White,Married,21
3622,Production Technician II,SVG,Production       ,Field Operations,MA,Female,Hispanic,Divorced,25
3623,Production Technician II,EW,Production       ,Engineers,MA,Female,Asian,Divorced,61
3624,Production Technician II,MSC,Production       ,Technology / It,MA,Female,Asian,Married,24
3625,Production Technician II,TNS,Production       ,Engineers,MA,Female,Asian,Single,46
3626,Production Technician II,PYZ,Production       ,Field Operations,MA,Female,Asian,Single,28
3627,Production Technician II,WBL,Production       ,Field Operations,MA,Female,Black,Married,52
3628,Production Technician II,NEL,Production       ,Engineers,MA,Female,Hispanic,Married,74
3629,Production Technician I,NEL,Production       ,Field Operations,MA,Male,Black,Divorced,39
3630,Production Technician I,MSC,Production       ,Field Operations,MA,Male,Other,Widowed,54
3631,Production Technician I,EW,Production       ,Wireline Construction,MA,Male,Other,Divorced,75
3632,Production Technician I,CCDR,Production       ,Field Operations,MA,Male,Asian,Married,77
3633,Production Technician I,BPC,Production       ,Aerial,MA,Female,Hispanic,Single,35
3634,Production Technician I,PYZ,Production       ,General - Sga,MA,Female,Other,Married,61
3635,Production Technician I,WBL,Production       ,Yard (Material Handling),MA,Female,Hispanic,Single,42
3637,Production Technician I,PL,Production       ,Aerial,MA,Male,Asian,Divorced,27
3638,Production Technician I,BPC,Production       ,Field Operations,MA,Male,Hispanic,Single,45
3640,Production Technician I,SVG,Production       ,Field Operations,MA,Female,Asian,Divorced,23
3643,Production Technician I,TNS,Production       ,Catv,MA,Male,Asian,Single,59
3644,Production Technician I,PYZ,Production       ,Field Operations,MA,Male,Black,Married,36
3645,Production Technician I,WBL,Production       ,General - Con,MA,Male,Asian,Single,42
3646,Production Technician II,SVG,Production       ,Splicing,MA,Female,Hispanic,Widowed,55
3647,Production Technician II,EW,Production       ,Engineers,MA,Female,Black,Single,54
3648,Production Technician II,MSC,Production       ,Aerial,MA,Female,Other,Divorced,74
3649,Production Technician II,TNS,Production       ,Field Operations,MA,Female,White,Married,54
3650,Production Technician II,PYZ,Production       ,Field Operations,MA,Female,White,Divorced,28
3651,Production Technician II,WBL,Production       ,General - Con,MA,Female,White,Single,28
3652,Production Technician I,NEL,Production       ,Field Operations,MA,Male,Other,Married,73
3653,Production Technician I,PL,Production       ,General - Con,MA,Male,Asian,Widowed,26
3654,Production Technician I,PYZ,Production       ,Aerial,MA,Male,Asian,Divorced,27
3655,Production Technician I,SVG,Production       ,Engineers,MA,Male,Asian,Married,25
3656,Production Technician I,TNS,Production       ,Underground,MA,Male,Hispanic,Divorced,18
3657,Production Technician I,WBL,Production       ,General - Con,MA,Female,Black,Single,29
3658,Production Technician I,BPC,Production       ,Project Management - Con,MA,Female,Black,Divorced,56
3659,Production Technician I,CCDR,Production       ,Field Operations,MA,Male,Other,Divorced,30
3660,Production Technician I,EW,Production       ,Field Operations,MA,Male,Hispanic,Single,45
3661,Production Technician I,MSC,Production       ,Executive,MA,Male,Asian,Married,70
3662,Production Technician I,NEL,Production       ,Wireline Construction,MA,Male,Other,Married,50
3665,Production Technician I,SVG,Production       ,Field Operations,MA,Male,Asian,Married,34
3666,Production Technician I,TNS,Production       ,Field Operations,MA,Male,Hispanic,Single,66
3667,Production Technician I,WBL,Production       ,Billable Consultants,MA,Male,Black,Single,24
3668,Production Technician I,BPC,Production       ,Underground,MA,Male,Asian,Widowed,27
3669,Production Technician I,CCDR,Production       ,Finance & Accounting,MA,Male,Black,Widowed,53
3670,Production Technician II,SVG,Production       ,Billable Consultants,MA,Female,Hispanic,Widowed,53
3671,Production Technician II,EW,Production       ,Splicing,MA,Female,Asian,Divorced,34
3672,Production Technician II,MSC,Production       ,General - Con,MA,Female,Asian,Divorced,28
3673,Production Technician II,TNS,Production       ,People Services,MA,Female,Other,Widowed,49
3674,Production Technician II,BPC,Production       ,Engineers,MA,Female,Other,Single,24
3675,Production Technician II,CCDR,Production       ,Engineers,MA,Female,Hispanic,Divorced,68
3676,Production Technician I,BPC,Production       ,Yard (Material Handling),MA,Male,Black,Divorced,25
3677,Production Technician I,CCDR,Production       ,Field Operations,MA,Male,Hispanic,Single,62
3678,Production Technician I,SVG,Production       ,General - Eng,MA,Male,Asian,Single,22
3679,Production Technician I,EW,Production       ,Engineers,MA,Male,Asian,Divorced,30
3680,Production Technician I,MSC,Production       ,Underground,MA,Female,Other,Divorced,35
3681,Production Technician I,TNS,Production       ,Engineers,MA,Female,Black,Widowed,45
3682,Production Technician I,PYZ,Production       ,Field Operations,MA,Female,Black,Single,80
3683,Production Technician I,WBL,Production       ,Finance & Accounting,MA,Male,Other,Divorced,65
3684,Production Technician I,NEL,Production       ,Field Operations,MA,Male,Hispanic,Widowed,65
3685,Production Technician I,PL,Production       ,Project Management - Con,MA,Male,Asian,Widowed,36
3687,Production Technician I,CCDR,Production       ,Field Operations,MA,Female,White,Divorced,75
3689,Production Technician I,EW,Production       ,Field Operations,MA,Male,Asian,Married,61
3690,Production Technician I,MSC,Production       ,Yard (Material Handling),MA,Male,White,Single,70
3691,Production Technician I,TNS,Production       ,Finance & Accounting,MA,Male,Asian,Single,27
3692,Production Technician I,PYZ,Production       ,Aerial,MA,Male,Black,Widowed,40
3693,Production Technician II,SVG,Production       ,Project Management - Con,MA,Female,White,Married,42
3694,Production Technician II,EW,Production       ,Field Operations,MA,Female,Hispanic,Married,58
3695,Production Technician II,MSC,Production       ,Catv,MA,Female,Hispanic,Divorced,29
3696,Production Technician II,TNS,Production       ,Wireless,MA,Female,Hispanic,Widowed,31
3697,Production Technician II,PYZ,Production       ,Field Operations,MA,Female,Other,Single,28
3698,Production Technician II,WBL,Production       ,Catv,MA,Female,Hispanic,Married,39
3699,Production Technician I,PYZ,Production       ,Engineers,MA,Male,Asian,Divorced,45
3700,Production Technician I,PL,Production       ,Wireline Construction,MA,Male,Hispanic,Divorced,31
3701,Production Technician I,NEL,Production       ,Shop (Fleet),MA,Male,Other,Single,71
3702,Production Technician I,MSC,Production       ,Aerial,MA,Male,Asian,Single,43
3703,Production Technician I,EW,Production       ,Engineers,MA,Female,White,Widowed,69
3704,Production Technician I,CCDR,Production       ,Field Operations,MA,Female,Asian,Married,43
3705,Production Technician I,BPC,Production       ,General - Sga,MA,Female,White,Single,53
3706,Production Technician I,WBL,Production       ,Field Operations,MA,Male,White,Divorced,45
3707,Production Technician I,TNS,Production       ,Engineers,MA,Male,Asian,Divorced,27
3708,Production Technician I,SVG,Production       ,Fielders,MA,Male,Black,Married,46
3709,Production Technician I,PYZ,Production       ,Splicing,MA,Male,Black,Divorced,50
3710,Production Technician I,PL,Production       ,Aerial,MA,Female,Hispanic,Single,61
3711,Production Technician I,NEL,Production       ,Finance & Accounting,MA,Female,Black,Single,40
3713,Production Technician I,EW,Production       ,General - Sga,MA,Male,Hispanic,Widowed,35
3714,Production Technician I,CCDR,Production       ,Field Operations,MA,Male,White,Married,55
3715,Production Technician I,BPC,Production       ,Project Management - Con,MA,Male,Black,Widowed,45
3716,Production Technician II,SVG,Production       ,General - Con,MA,Female,Black,Married,29
3717,Production Technician II,EW,Production       ,Field Operations,MA,Female,Asian,Married,31
3718,Production Technician II,MSC,Production       ,Field Operations,MA,Female,Other,Married,75
3719,Production Technician II,TNS,Production       ,Underground,MA,Female,Hispanic,Divorced,75
3720,Production Technician II,PYZ,Production       ,Field Operations,MA,Female,White,Single,61
3721,Production Technician I,NEL,Production       ,Fielders,MA,Male,Black,Widowed,60
3722,Production Technician I,PL,Production       ,Field Operations,MA,Male,White,Married,73
3723,Production Technician I,BPC,Production       ,Wireline Construction,MA,Male,Asian,Married,50
3724,Production Technician I,CCDR,Production       ,Field Operations,MA,Male,Asian,Divorced,50
3725,Production Technician I,SVG,Production       ,Aerial,MA,Male,Asian,Widowed,64
3726,Production Technician I,EW,Production       ,General - Con,MA,Female,Other,Married,25
3727,Production Technician I,MSC,Production       ,Field Operations,MA,Female,Other,Divorced,76
3728,Production Technician I,TNS,Production       ,Splicing,MA,Male,Hispanic,Divorced,54
3729,Production Technician I,BPC,Production       ,Wireline Construction,MA,Male,Other,Divorced,79
3730,Production Technician I,CCDR,Production       ,Fielders,MA,Male,Black,Widowed,57
3731,Production Technician I,EW,Production       ,Field Operations,MA,Male,Hispanic,Single,22
3732,Production Technician I,MSC,Production       ,Field Operations,MA,Male,Black,Widowed,66
3734,Production Technician I,PL,Production       ,Technology / It,MA,Male,White,Divorced,55
3735,Production Technician I,PYZ,Production       ,Wireless,MA,Male,White,Married,56
3736,Production Technician I,SVG,Production       ,Wireline Construction,MA,Male,Other,Married,44
3737,Production Technician I,TNS,Production       ,People Services,MA,Male,Hispanic,Divorced,72
3738,Production Technician II,SVG,Production       ,General - Con,MA,Female,Hispanic,Widowed,22
3739,Production Technician II,EW,Production       ,Field Operations,MA,Female,Asian,Divorced,67
3740,Production Technician II,MSC,Production       ,People Services,MA,Female,Other,Single,21
3741,Production Technician II,TNS,Production       ,Field Operations,MA,Female,Hispanic,Widowed,75
3742,Production Technician II,PYZ,Production       ,Field Operations,MA,Female,Asian,Married,40
3743,Production Technician I,WBL,Production       ,General - Con,MA,Male,Black,Married,70
3744,Production Technician I,NEL,Production       ,Aerial,MA,Female,Asian,Widowed,56
3745,Production Technician I,PL,Production       ,General - Con,MA,Male,Asian,Single,41
3746,Production Technician I,BPC,Production       ,Shop (Fleet),MA,Male,Black,Widowed,51
3747,Production Technician I,CCDR,Production       ,Technology / It,MA,Male,Black,Widowed,77
3748,Production Technician I,SVG,Production       ,General - Con,MA,Male,Other,Married,50
3749,Production Technician I,EW,Production       ,Project Management - Eng,MA,Female,Other,Married,36
3750,Production Technician I,MSC,Production       ,Engineers,MA,Male,Black,Single,65
3751,Production Technician I,TNS,Production       ,Aerial,MA,Male,Other,Single,49
3752,Production Technician I,PYZ,Production       ,Engineers,MA,Male,White,Divorced,68
3753,Production Technician I,WBL,Production       ,Project Management - Eng,MA,Male,White,Single,60
3754,Production Technician I,NEL,Production       ,Project Management - Con,MA,Male,Black,Married,42
3756,Production Technician I,BPC,Production       ,Field Operations,MA,Female,Hispanic,Married,77
3758,Production Technician I,SVG,Production       ,Engineers,MA,Male,Other,Divorced,76
3759,Production Technician I,EW,Production       ,Yard (Material Handling),MA,Male,Black,Married,64
3760,Production Technician I,MSC,Production       ,General - Con,MA,Male,Other,Widowed,61
3761,Production Technician II,CCDR,Production       ,General - Sga,MA,Female,Black,Married,36
3762,Production Technician II,SVG,Production       ,Engineers,MA,Female,Black,Divorced,71
3763,Production Technician II,EW,Production       ,Finance & Accounting,MA,Female,White,Widowed,73
3764,Production Technician II,MSC,Production       ,General - Sga,MA,Female,Black,Single,27
3765,Production Technician II,TNS,Production       ,Yard (Material Handling),MA,Female,Hispanic,Widowed,53
3766,Production Technician II,PYZ,Production       ,Yard (Material Handling),MA,Female,Black,Widowed,76
3767,Production Technician I,TNS,Production       ,General - Con,MA,Female,Black,Divorced,28
3768,Production Technician I,SVG,Production       ,Catv,MA,Female,Black,Divorced,29
3769,Production Technician I,PYZ,Production       ,Fielders,MA,Male,Asian,Married,68
3770,Production Technician I,PL,Production       ,Aerial,MA,Male,Asian,Married,27
3771,Production Technician I,NEL,Production       ,General - Con,MA,Male,Asian,Married,40
3772,Production Technician I,MSC,Production       ,Engineers,MA,Female,Asian,Divorced,56
3773,Production Technician I,EW,Production       ,Engineers,MA,Female,Hispanic,Divorced,48
3774,Production Technician I,CCDR,Production       ,Engineers,MA,Male,Black,Single,21
3775,Production Technician I,BPC,Production       ,Field Operations,MA,Male,Other,Widowed,41
3776,Production Technician I,WBL,Production       ,General - Eng,MA,Male,Black,Married,41
3777,Production Technician I,TNS,Production       ,Aerial,MA,Male,Black,Single,55
3778,Production Technician I,SVG,Production       ,Wireline Construction,MA,Male,Other,Married,31
3782,Production Technician I,MSC,Production       ,Field Operations,MA,Male,Asian,Widowed,35
3783,Production Technician I,EW,Production       ,Fielders,MA,Male,Asian,Divorced,58
3784,Production Technician I,CCDR,Production       ,Splicing,MA,Female,White,Single,24
3785,Production Technician II,PL,Production       ,Project Management - Con,MA,Female,Black,Divorced,45
3786,Production Technician II,PYZ,Production       ,Field Operations,MA,Female,Black,Divorced,59
3787,Production Technician II,SVG,Production       ,General - Sga,MA,Female,White,Widowed,51
3788,Production Technician II,TNS,Production       ,Field Operations,MA,Female,Black,Married,47
3789,Production Technician II,WBL,Production       ,Wireline Construction,MA,Female,Other,Widowed,43
3790,Production Technician II,PYZ,Production       ,Yard (Material Handling),MA,Female,Hispanic,Single,61
3791,Production Technician I,WBL,Production       ,Finance & Accounting,MA,Female,Asian,Divorced,42
3792,Production Technician I,NEL,Production       ,Engineers,MA,Male,White,Married,21
3793,Production Technician I,PL,Production       ,General - Con,MA,Male,Asian,Married,67
3794,Production Technician I,BPC,Production       ,General - Con,MA,Male,Asian,Widowed,22
3795,Production Technician I,CCDR,Production       ,General - Sga,MA,Male,White,Divorced,33
3796,Production Technician I,SVG,Production       ,General - Con,MA,Female,Hispanic,Married,55
3797,Production Technician I,EW,Production       ,Catv,MA,Female,Black,Married,45
3798,Production Technician I,MSC,Production       ,General - Con,MA,Male,Other,Widowed,59
3799,Production Technician I,TNS,Production       ,Executive,MA,Male,Hispanic,Single,58
3800,Production Technician I,PYZ,Production       ,General - Sga,MA,Male,Other,Married,69
3801,Production Technician I,WBL,Production       ,Field Operations,MA,Female,Hispanic,Single,71
3802,Production Technician I,NEL,Production       ,Field Operations,MA,Male,White,Divorced,74
3804,Production Technician I,BPC,Production       ,General - Con,MA,Female,Hispanic,Single,41
3805,Production Technician I,CCDR,Production       ,General - Con,MA,Male,Other,Divorced,40
3806,Production Technician I,SVG,Production       ,Field Operations,MA,Male,Other,Married,47
