employee_id,employee_status,employee_type,pay_zone,employee_classification_type,start_date,start_date_key
3528,Active,Full-Time,Zone C,Part-Time,2022-10-13,20221013.0
3529,Active,Part-Time,Zone C,Full-Time,2020-01-03,20200103.0
3530,Active,Full-Time,Zone B,Part-Time,2019-11-13,20191113.0
3531,Active,Full-Time,Zone C,Full-Time,2023-06-17,20230617.0
3532,Active,Part-Time,Zone B,Full-Time,2021-10-14,20211014.0
3533,Active,Contract,Zone B,Full-Time,2021-06-01,20210601.0
3534,Active,Full-Time,Zone A,Full-Time,2018-09-14,20180914.0
3535,Active,Full-Time,Zone A,Temporary,2018-12-11,20181211.0
3536,Active,Contract,Zone C,Temporary,2022-08-06,20220806.0
3539,Active,Full-Time,Zone C,Temporary,2019-12-08,20191208.0
3540,Active,Full-Time,Zone B,Part-Time,2020-03-12,20200312.0
3541,Active,Full-Time,Zone B,Full-Time,2020-04-06,20200406.0
3542,Active,Contract,Zone A,Temporary,2023-04-15,20230415.0
3543,Active,Part-Time,Zone A,Temporary,2020-11-10,20201110.0
3544,Active,Contract,Zone A,Temporary,2023-06-29,20230629.0
3545,Active,Full-Time,Zone C,Temporary,2022-03-07,20220307.0
3546,Active,Full-Time,Zone B,Part-Time,2021-07-31,20210731.0
3547,Active,Contract,Zone B,Full-Time,2022-01-20,20220120.0
3548,Active,Part-Time,Zone A,Full-Time,2021-07-11,20210711.0
3549,Active,Full-Time,Zone C,Full-Time,2018-10-15,20181015.0
3551,Active,Part-Time,Zone C,Part-Time,2018-08-11,20180811.0
3552,Active,Full-Time,Zone B,Full-Time,2020-02-16,20200216.0
3553,Active,Contract,Zone C,Temporary,2020-01-20,20200120.0
3554,Active,Part-Time,Zone C,Temporary,2019-03-31,20190331.0
3555,Active,Full-Time,Zone C,Temporary,2023-01-06,20230106.0
3556,Active,Full-Time,Zone B,Temporary,2019-07-18,20190718.0
3557,Active,Part-Time,Zone C,Temporary,2019-02-13,20190213.0
3558,Active,Part-Time,Zone A,Part-Time,2018-12-30,20181230.0
3559,Active,Part-Time,Zone C,Full-Time,2019-11-06,20191106.0
3560,Active,Contract,Zone C,Full-Time,2022-06-01,20220601.0
3561,Active,Part-Time,Zone C,Temporary,2023-03-28,20230328.0
3563,Active,Contract,Zone B,Full-Time,2019-01-01,20190101.0
3564,Terminated,Full-Time,Zone C,Temporary,2019-01-26,20190126.0
3565,Active,Part-Time,Zone B,Full-Time,2021-09-11,20210911.0
3566,Active,Part-Time,Zone A,Part-Time,2021-09-26,20210926.0
3567,Active,Full-Time,Zone C,Full-Time,2023-03-04,20230304.0
3568,Terminated,Full-Time,Zone B,Part-Time,2023-07-11,20230711.0
3569,Active,Part-Time,Zone B,Temporary,2019-02-09,20190209.0
3570,Terminated,Full-Time,Zone B,Temporary,2019-04-19,20190419.0
3571,Terminated,Part-Time,Zone C,Full-Time,2022-07-07,20220707.0
3572,Active,Contract,Zone A,Part-Time,2019-03-12,20190312.0
3573,Active,Contract,Zone B,Full-Time,2020-03-09,20200309.0
3575,Terminated,Part-Time,Zone A,Temporary,2021-04-28,20210428.0
3576,Active,Full-Time,Zone B,Full-Time,2021-07-21,20210721.0
3577,Active,Part-Time,Zone C,Temporary,2019-09-15,20190915.0
3578,Active,Full-Time,Zone A,Temporary,2019-05-04,20190504.0
3579,Active,Full-Time,Zone C,Part-Time,2021-05-20,20210520.0
3580,Active,Full-Time,Zone C,Full-Time,2019-12-16,20191216.0
3581,Active,Full-Time,Zone A,Part-Time,2020-11-20,20201120.0
3582,Active,Part-Time,Zone B,Part-Time,2020-08-19,20200819.0
3583,Active,Full-Time,Zone C,Temporary,2021-04-28,20210428.0
3584,Active,Contract,Zone C,Full-Time,2020-08-14,20200814.0
3585,Active,Full-Time,Zone A,Full-Time,2021-12-22,20211222.0
3586,Active,Part-Time,Zone B,Full-Time,2019-02-01,20190201.0
3587,Active,Full-Time,Zone B,Temporary,2021-05-10,20210510.0
3588,Active,Full-Time,Zone C,Full-Time,2019-06-25,20190625.0
3589,Active,Contract,Zone B,Temporary,2019-04-25,20190425.0
3593,Active,Contract,Zone A,Full-Time,2020-05-30,20200530.0
3594,Active,Part-Time,Zone B,Part-Time,2018-12-11,20181211.0
3595,Active,Contract,Zone A,Temporary,2020-09-22,20200922.0
3596,Active,Part-Time,Zone C,Full-Time,2019-07-28,20190728.0
3598,Terminated,Part-Time,Zone A,Full-Time,2018-09-28,20180928.0
3599,Active,Part-Time,Zone A,Temporary,2020-04-12,20200412.0
3600,Active,Contract,Zone B,Temporary,2022-11-01,20221101.0
3601,Active,Part-Time,Zone B,Full-Time,2022-11-21,20221121.0
3602,Terminated,Full-Time,Zone B,Part-Time,2021-04-11,20210411.0
3603,Terminated,Full-Time,Zone A,Part-Time,2018-11-29,20181129.0
3604,Active,Part-Time,Zone B,Full-Time,2019-01-16,20190116.0
3605,Active,Contract,Zone C,Temporary,2019-09-18,20190918.0
3606,Terminated,Part-Time,Zone C,Full-Time,2019-08-01,20190801.0
3607,Active,Full-Time,Zone A,Full-Time,2019-06-18,20190618.0
3608,Active,Full-Time,Zone C,Part-Time,2019-02-13,20190213.0
3609,Active,Contract,Zone B,Full-Time,2021-06-02,20210602.0
3610,Active,Part-Time,Zone C,Full-Time,2018-10-11,20181011.0
3611,Active,Contract,Zone C,Full-Time,2021-03-09,20210309.0
3612,Active,Contract,Zone A,Part-Time,2022-01-23,20220123.0
3613,Active,Contract,Zone B,Part-Time,2019-02-24,20190224.0
3614,Active,Contract,Zone B,Temporary,2020-01-08,20200108.0
3616,Active,Contract,Zone C,Full-Time,2022-02-12,20220212.0
3617,Active,Full-Time,Zone C,Full-Time,2023-02-01,20230201.0
3618,Active,Part-Time,Zone B,Temporary,2023-02-04,20230204.0
3619,Active,Full-Time,Zone A,Full-Time,2023-03-23,20230323.0
3620,Active,Part-Time,Zone A,Temporary,2023-03-22,20230322.0
3621,Active,Contract,Zone A,Full-Time,2018-11-28,20181128.0
3622,Active,Part-Time,Zone A,Temporary,2020-07-09,20200709.0
3623,Active,Part-Time,Zone A,Full-Time,2019-02-11,20190211.0
3624,Active,Part-Time,Zone B,Part-Time,2020-01-09,20200109.0
3625,Terminated,Contract,Zone B,Part-Time,2021-11-11,20211111.0
3626,Active,Full-Time,Zone B,Temporary,2021-05-15,20210515.0
3627,Terminated,Contract,Zone C,Full-Time,2019-08-21,20190821.0
3628,Active,Contract,Zone B,Part-Time,2020-09-18,20200918.0
3629,Terminated,Contract,Zone B,Full-Time,2022-08-27,20220827.0
3630,Active,Contract,Zone B,Full-Time,2019-02-23,20190223.0
3631,Active,Contract,Zone C,Full-Time,2022-08-08,20220808.0
3632,Active,Contract,Zone C,Full-Time,2022-09-24,20220924.0
3633,Active,Contract,Zone B,Temporary,2022-03-21,20220321.0
3634,Active,Part-Time,Zone B,Full-Time,2023-06-23,20230623.0
3635,Active,Part-Time,Zone C,Part-Time,2020-10-26,20201026.0
3636,Active,Contract,Zone B,Temporary,2020-01-29,20200129.0
3637,Active,Full-Time,Zone C,Full-Time,2022-04-23,20220423.0
3638,Active,Full-Time,Zone C,Part-Time,2023-06-15,20230615.0
3640,Active,Contract,Zone A,Temporary,2023-01-07,20230107.0
3643,Active,Full-Time,Zone A,Full-Time,2020-04-16,20200416.0
3644,Active,Part-Time,Zone B,Full-Time,2022-06-16,20220616.0
3645,Active,Part-Time,Zone C,Full-Time,2019-07-22,20190722.0
3646,Active,Part-Time,Zone A,Full-Time,2023-04-22,20230422.0
3647,Terminated,Part-Time,Zone A,Part-Time,2020-12-28,20201228.0
3648,Active,Contract,Zone A,Full-Time,2022-02-23,20220223.0
3649,Active,Contract,Zone A,Part-Time,2022-08-13,20220813.0
3650,Terminated,Full-Time,Zone B,Part-Time,2019-10-03,20191003.0
3651,Active,Full-Time,Zone C,Full-Time,2019-10-14,20191014.0
3652,Terminated,Part-Time,Zone C,Part-Time,2019-08-30,20190830.0
3653,Terminated,Contract,Zone B,Part-Time,2021-02-04,20210204.0
3654,Active,Part-Time,Zone A,Part-Time,2022-11-23,20221123.0
3655,Active,Part-Time,Zone C,Full-Time,2023-02-25,20230225.0
3656,Active,Part-Time,Zone B,Part-Time,2019-12-15,20191215.0
3657,Active,Part-Time,Zone C,Full-Time,2021-08-29,20210829.0
3658,Active,Part-Time,Zone C,Temporary,2022-11-04,20221104.0
3659,Active,Full-Time,Zone A,Part-Time,2019-10-02,20191002.0
3660,Active,Full-Time,Zone A,Full-Time,2019-05-24,20190524.0
3661,Active,Contract,Zone C,Temporary,2022-02-28,20220228.0
3662,Active,Full-Time,Zone B,Temporary,2023-06-13,20230613.0
3665,Active,Full-Time,Zone B,Temporary,2019-11-22,20191122.0
3666,Active,Full-Time,Zone A,Full-Time,2022-04-29,20220429.0
3667,Active,Part-Time,Zone B,Temporary,2022-12-11,20221211.0
3668,Active,Full-Time,Zone C,Full-Time,2023-08-06,20230806.0
3669,Terminated,Contract,Zone A,Temporary,2020-03-28,20200328.0
3670,Active,Full-Time,Zone A,Full-Time,2022-08-11,20220811.0
3671,Terminated,Part-Time,Zone A,Temporary,2023-01-26,20230126.0
3672,Active,Part-Time,Zone A,Full-Time,2019-01-14,20190114.0
3673,Terminated,Full-Time,Zone B,Temporary,2022-06-11,20220611.0
3674,Terminated,Part-Time,Zone C,Part-Time,2020-06-25,20200625.0
3675,Active,Full-Time,Zone C,Full-Time,2020-06-08,20200608.0
3676,Active,Contract,Zone B,Part-Time,2018-08-29,20180829.0
3677,Active,Full-Time,Zone A,Full-Time,2022-10-01,20221001.0
3678,Active,Full-Time,Zone A,Full-Time,2021-07-22,20210722.0
3679,Active,Full-Time,Zone A,Full-Time,2019-12-14,20191214.0
3680,Active,Part-Time,Zone B,Full-Time,2020-03-27,20200327.0
3681,Active,Part-Time,Zone B,Temporary,2021-11-25,20211125.0
3682,Active,Full-Time,Zone C,Temporary,2023-07-08,20230708.0
3683,Active,Part-Time,Zone C,Temporary,2021-11-02,20211102.0
3684,Active,Contract,Zone C,Part-Time,2019-12-01,20191201.0
3685,Active,Full-Time,Zone C,Full-Time,2022-08-16,20220816.0
3687,Active,Part-Time,Zone B,Temporary,2019-05-17,20190517.0
3689,Active,Contract,Zone A,Temporary,2021-07-16,20210716.0
3690,Active,Part-Time,Zone A,Temporary,2020-08-04,20200804.0
3691,Active,Part-Time,Zone C,Full-Time,2020-11-23,20201123.0
3692,Active,Full-Time,Zone B,Part-Time,2019-11-11,20191111.0
3693,Active,Part-Time,Zone B,Temporary,2019-05-20,20190520.0
3694,Terminated,Full-Time,Zone A,Part-Time,2019-11-05,20191105.0
3695,Terminated,Contract,Zone C,Temporary,2018-09-20,20180920.0
3696,Terminated,Contract,Zone B,Part-Time,2020-09-02,20200902.0
3697,Active,Full-Time,Zone A,Part-Time,2020-06-28,20200628.0
3698,Active,Full-Time,Zone A,Full-Time,2023-03-22,20230322.0
3699,Terminated,Part-Time,Zone B,Temporary,2022-08-30,20220830.0
3700,Active,Part-Time,Zone A,Temporary,2019-10-24,20191024.0
3701,Active,Part-Time,Zone B,Temporary,2019-11-09,20191109.0
3702,Active,Part-Time,Zone C,Part-Time,2019-07-13,20190713.0
3703,Active,Part-Time,Zone A,Part-Time,2020-08-31,20200831.0
3704,Active,Full-Time,Zone C,Part-Time,2019-01-25,20190125.0
3705,Active,Full-Time,Zone A,Part-Time,2020-11-21,20201121.0
3706,Active,Full-Time,Zone B,Part-Time,2019-09-23,20190923.0
3707,Active,Contract,Zone B,Temporary,2022-12-11,20221211.0
3708,Active,Full-Time,Zone C,Part-Time,2020-08-21,20200821.0
3709,Active,Full-Time,Zone C,Part-Time,2019-02-04,20190204.0
3710,Active,Full-Time,Zone C,Part-Time,2021-10-29,20211029.0
3711,Active,Part-Time,Zone A,Temporary,2021-07-17,20210717.0
3713,Active,Full-Time,Zone B,Temporary,2020-07-21,20200721.0
3714,Active,Full-Time,Zone B,Part-Time,2020-01-19,20200119.0
3715,Active,Contract,Zone A,Full-Time,2021-09-12,20210912.0
3716,Terminated,Full-Time,Zone A,Full-Time,2022-07-31,20220731.0
3717,Active,Contract,Zone B,Full-Time,2023-05-18,20230518.0
3718,Terminated,Contract,Zone C,Temporary,2021-05-25,20210525.0
3719,Active,Contract,Zone B,Full-Time,2022-07-22,20220722.0
3720,Active,Part-Time,Zone B,Full-Time,2019-05-23,20190523.0
3721,Active,Full-Time,Zone B,Full-Time,2020-02-12,20200212.0
3722,Terminated,Part-Time,Zone B,Full-Time,2020-02-16,20200216.0
3723,Terminated,Full-Time,Zone A,Temporary,2022-04-29,20220429.0
3724,Terminated,Part-Time,Zone C,Temporary,2019-10-10,20191010.0
3725,Active,Contract,Zone B,Part-Time,2019-04-07,20190407.0
3726,Active,Contract,Zone A,Full-Time,2020-07-13,20200713.0
3727,Active,Part-Time,Zone C,Temporary,2021-08-26,20210826.0
3728,Active,Contract,Zone A,Part-Time,2021-12-23,20211223.0
3729,Active,Contract,Zone B,Part-Time,2022-12-08,20221208.0
3730,Active,Contract,Zone B,Temporary,2022-01-18,20220118.0
3731,Active,Part-Time,Zone B,Part-Time,2020-02-28,20200228.0
3732,Active,Part-Time,Zone B,Part-Time,2020-05-31,20200531.0
3734,Active,Full-Time,Zone C,Temporary,2019-03-07,20190307.0
3735,Active,Contract,Zone C,Temporary,2019-05-29,20190529.0
3736,Active,Full-Time,Zone A,Part-Time,2020-10-18,20201018.0
3737,Active,Part-Time,Zone B,Part-Time,2018-11-19,20181119.0
3738,Terminated,Full-Time,Zone A,Temporary,2022-04-15,20220415.0
3739,Terminated,Full-Time,Zone B,Temporary,2018-08-24,20180824.0
3740,Terminated,Full-Time,Zone C,Part-Time,2022-10-15,20221015.0
3741,Terminated,Full-Time,Zone A,Temporary,2023-02-27,20230227.0
3742,Active,Contract,Zone A,Temporary,2021-09-22,20210922.0
3743,Active,Contract,Zone A,Part-Time,2020-05-30,20200530.0
3744,Active,Part-Time,Zone B,Full-Time,2020-09-11,20200911.0
3745,Terminated,Full-Time,Zone C,Full-Time,2019-05-31,20190531.0
3746,Active,Part-Time,Zone B,Full-Time,2020-07-13,20200713.0
3747,Terminated,Part-Time,Zone C,Temporary,2021-09-09,20210909.0
3748,Active,Full-Time,Zone C,Part-Time,2019-04-06,20190406.0
3749,Active,Full-Time,Zone A,Full-Time,2021-02-16,20210216.0
3750,Active,Full-Time,Zone C,Part-Time,2020-02-17,20200217.0
3751,Active,Contract,Zone A,Full-Time,2021-10-15,20211015.0
3752,Active,Full-Time,Zone A,Temporary,2022-07-06,20220706.0
3753,Active,Part-Time,Zone B,Part-Time,2019-03-05,20190305.0
3754,Active,Full-Time,Zone C,Full-Time,2020-06-02,20200602.0
3756,Active,Full-Time,Zone A,Temporary,2021-05-24,20210524.0
3758,Terminated,Contract,Zone A,Temporary,2022-11-16,20221116.0
3759,Active,Contract,Zone B,Full-Time,2022-05-01,20220501.0
3760,Active,Full-Time,Zone A,Part-Time,2021-08-24,20210824.0
3761,Active,Contract,Zone A,Full-Time,2023-06-22,20230622.0
3762,Active,Part-Time,Zone B,Temporary,2020-07-18,20200718.0
3763,Terminated,Full-Time,Zone B,Full-Time,2023-01-12,20230112.0
3764,Active,Full-Time,Zone B,Temporary,2022-02-16,20220216.0
3765,Active,Part-Time,Zone A,Temporary,2022-09-02,20220902.0
3766,Active,Part-Time,Zone A,Part-Time,2019-02-02,20190202.0
3767,Terminated,Full-Time,Zone B,Part-Time,2021-08-26,20210826.0
3768,Active,Contract,Zone B,Full-Time,2020-12-31,20201231.0
3769,Active,Full-Time,Zone A,Full-Time,2020-12-12,20201212.0
3770,Terminated,Contract,Zone B,Temporary,2022-01-13,20220113.0
3771,Terminated,Part-Time,Zone B,Temporary,2021-01-24,20210124.0
3772,Active,Full-Time,Zone A,Temporary,2022-02-08,20220208.0
3773,Terminated,Part-Time,Zone A,Temporary,2020-10-11,20201011.0
3774,Active,Part-Time,Zone B,Full-Time,2019-06-20,20190620.0
3775,Active,Contract,Zone B,Part-Time,2021-07-13,20210713.0
3776,Active,Contract,Zone A,Full-Time,2021-10-14,20211014.0
3777,Active,Contract,Zone C,Temporary,2021-11-09,20211109.0
3778,Active,Full-Time,Zone A,Full-Time,2023-04-02,20230402.0
3782,Terminated,Full-Time,Zone B,Temporary,2019-03-09,20190309.0
3783,Active,Contract,Zone A,Full-Time,2020-05-09,20200509.0
3784,Active,Contract,Zone A,Temporary,2022-08-14,20220814.0
3785,Active,Contract,Zone C,Temporary,2022-01-18,20220118.0
3786,Terminated,Full-Time,Zone A,Part-Time,2021-06-22,20210622.0
3787,Terminated,Full-Time,Zone C,Part-Time,2023-01-19,20230119.0
3788,Terminated,Part-Time,Zone A,Full-Time,2023-05-17,20230517.0
3789,Active,Contract,Zone A,Part-Time,2020-06-07,20200607.0
3790,Active,Full-Time,Zone A,Temporary,2023-07-07,20230707.0
3791,Active,Full-Time,Zone B,Full-Time,2020-03-28,20200328.0
3792,Active,Part-Time,Zone C,Full-Time,2019-05-23,20190523.0
3793,Active,Full-Time,Zone B,Full-Time,2019-04-20,20190420.0
3794,Active,Contract,Zone A,Full-Time,2018-09-09,20180909.0
3795,Active,Part-Time,Zone A,Part-Time,2022-07-14,20220714.0
3796,Active,Contract,Zone A,Part-Time,2019-04-17,20190417.0
3797,Active,Contract,Zone A,Full-Time,2020-05-15,20200515.0
3798,Active,Full-Time,Zone C,Full-Time,2020-04-04,20200404.0
3799,Active,Full-Time,Zone A,Temporary,2022-10-15,20221015.0
3800,Active,Contract,Zone C,Part-Time,2019-07-11,20190711.0
3801,Active,Contract,Zone C,Temporary,2019-10-02,20191002.0
3802,Active,Full-Time,Zone A,Full-Time,2021-03-04,20210304.0
3804,Active,Full-Time,Zone C,Part-Time,2019-05-15,20190515.0
3805,Active,Full-Time,Zone B,Part-Time,2022-04-28,20220428.0
3806,Active,Contract,Zone C,Temporary,2021-09-23,20210923.0
3807,Active,Contract,Zone C,Temporary,2021-09-15,20210915.0
3808,Active,Contract,Zone B,Full-Time,2019-04-27,20190427.0
3809,Active,Part-Time,Zone B,Part-Time,2019-10-06,20191006.0
3810,Active,Full-Time,Zone A,Temporary,2020-02-16,20200216.0
3811,Active,Part-Time,Zone B,Temporary,2022-05-14,20220514.0
3812,Active,Contract,Zone B,Full-Time,2019-02-13,20190213.0
3813,Active,Part-Time,Zone A,Part-Time,2022-08-24,20220824.0
3815,Active,Contract,Zone C,Part-Time,2021-03-26,20210326.0
3816,Active,Full-Time,Zone A,Temporary,2021-05-01,20210501.0
3817,Active,Part-Time,Zone A,Full-Time,2021-10-10,20211010.0
3818,Active,Part-Time,Zone A,Part-Time,2020-01-02,20200102.0
3819,Active,Full-Time,Zone B,Part-Time,2020-01-20,20200120.0
3820,Active,Contract,Zone C,Full-Time,2018-08-11,20180811.0
3821,Active,Contract,Zone A,Temporary,2021-12-18,20211218.0
3822,Active,Full-Time,Zone B,Part-Time,2019-09-24,20190924.0
3823,Active,Full-Time,Zone A,Temporary,2022-10-17,20221017.0
3824,Active,Contract,Zone C,Full-Time,2020-01-07,20200107.0
3825,Active,Full-Time,Zone A,Part-Time,2022-11-05,20221105.0
3826,Active,Part-Time,Zone B,Full-Time,2023-04-26,20230426.0
3827,Active,Part-Time,Zone B,Part-Time,2019-05-29,20190529.0
3828,Active,Part-Time,Zone A,Full-Time,2019-09-12,20190912.0
3829,Active,Part-Time,Zone C,Full-Time,2019-01-27,20190127.0
3830,Active,Part-Time,Zone C,Temporary,2019-08-20,20190820.0
3831,Active,Part-Time,Zone C,Part-Time,2018-09-14,20180914.0
3833,Active,Full-Time,Zone A,Part-Time,2022-01-26,20220126.0
3834,Active,Contract,Zone C,Part-Time,2019-05-10,20190510.0
3835,Active,Part-Time,Zone B,Part-Time,2019-01-02,20190102.0
3836,Active,Contract,Zone A,Temporary,2021-08-13,20210813.0
3837,Active,Part-Time,Zone A,Part-Time,2022-10-02,20221002.0
3838,Active,Part-Time,Zone A,Full-Time,2018-12-17,20181217.0
3839,Active,Contract,Zone B,Part-Time,2021-10-11,20211011.0
3840,Active,Part-Time,Zone B,Full-Time,2023-04-01,20230401.0
3841,Active,Full-Time,Zone C,Full-Time,2021-03-20,20210320.0
3844,Active,Part-Time,Zone C,Temporary,2021-06-10,20210610.0
3845,Active,Contract,Zone A,Full-Time,2019-08-25,20190825.0
3846,Active,Contract,Zone C,Full-Time,2020-05-04,20200504.0
3847,Active,Part-Time,Zone B,Temporary,2019-02-24,20190224.0
3848,Active,Full-Time,Zone C,Temporary,2019-09-24,20190924.0
3849,Active,Contract,Zone A,Part-Time,2021-02-13,20210213.0
3850,Active,Part-Time,Zone B,Temporary,2020-01-05,20200105.0
3854,Active,Part-Time,Zone B,Temporary,2019-06-06,20190606.0
3855,Active,Part-Time,Zone B,Part-Time,2021-05-25,20210525.0
3856,Active,Part-Time,Zone C,Part-Time,2023-03-17,20230317.0
3857,Active,Contract,Zone B,Temporary,2022-10-02,20221002.0
3858,Active,Full-Time,Zone B,Full-Time,2022-01-22,20220122.0
3859,Active,Full-Time,Zone B,Part-Time,2019-11-29,20191129.0
3860,Active,Contract,Zone B,Temporary,2020-07-01,20200701.0
3861,Active,Full-Time,Zone C,Part-Time,2022-03-24,20220324.0
3863,Active,Contract,Zone A,Temporary,2019-06-07,20190607.0
3865,Active,Part-Time,Zone C,Temporary,2020-09-29,20200929.0
3866,Active,Contract,Zone A,Full-Time,2020-09-04,20200904.0
3867,Active,Part-Time,Zone B,Full-Time,2018-08-26,20180826.0
3868,Active,Contract,Zone A,Part-Time,2019-08-17,20190817.0
3869,Active,Full-Time,Zone A,Temporary,2019-09-25,20190925.0
3870,Active,Contract,Zone B,Temporary,2023-03-11,20230311.0
3871,Active,Full-Time,Zone B,Full-Time,2022-12-15,20221215.0
3872,Active,Contract,Zone B,Part-Time,2018-08-10,20180810.0
