employee_id,training_program_name,training_date,training_type,training_outcome,training_duration_days,training_cost,training_date_key
3477,Leadership Development,2022-11-07,External,Failed,5,429.48,20221107.0
3478,Technical Skills,2022-10-05,External,Incomplete,1,526.74,20221005.0
3479,Communication Skills,2023-01-18,Internal,Passed,3,443.45,20230118.0
3483,Project Management,2022-08-10,External,Passed,4,111.96,20220810.0
3484,Project Management,2023-06-27,External,Passed,1,795.7,20230627.0
3485,Customer Service,2022-08-07,Internal,Passed,2,796.45,20220807.0
3486,Project Management,2023-07-23,Internal,Completed,5,812.59,20230723.0
3487,Project Management,2023-07-17,External,Completed,5,132.97,20230717.0
3488,Communication Skills,2022-09-20,Internal,Completed,1,308.19,20220920.0
3489,Project Management,2023-07-02,Internal,Passed,1,131.41,20230702.0
3490,Technical Skills,2023-07-19,Internal,Failed,3,389.59,20230719.0
3491,Project Management,2023-07-14,Internal,Incomplete,3,442.56,20230714.0
3492,Project Management,2022-09-06,Internal,Incomplete,3,327.66,20220906.0
3493,Project Management,2023-02-19,Internal,Completed,3,400.95,20230219.0
3494,Technical Skills,2023-02-11,Internal,Completed,2,910.45,20230211.0
3495,Customer Service,2022-12-21,External,Passed,1,701.55,20221221.0
3496,Project Management,2023-02-16,Internal,Incomplete,1,806.87,20230216.0
3497,Communication Skills,2023-03-11,Internal,Completed,2,184.21,20230311.0
3498,Project Management,2023-05-30,External,Failed,1,208.43,20230530.0
3499,Technical Skills,2023-01-30,Internal,Incomplete,2,762.45,20230130.0
3500,Leadership Development,2023-06-15,External,Incomplete,4,779.79,20230615.0
3502,Customer Service,2023-01-03,External,Incomplete,3,427.12,20230103.0
3503,Technical Skills,2023-02-20,Internal,Completed,4,996.35,20230220.0
3504,Communication Skills,2023-06-02,Internal,Completed,5,963.23,20230602.0
3505,Leadership Development,2022-09-13,Internal,Failed,5,260.97,20220913.0
3506,Leadership Development,2023-05-21,Internal,Completed,1,781.81,20230521.0
3507,Project Management,2023-05-25,Internal,Passed,4,651.77,20230525.0
3508,Communication Skills,2023-04-04,External,Completed,1,568.22,20230404.0
3509,Leadership Development,2023-03-04,External,Completed,4,612.1,20230304.0
3510,Technical Skills,2022-10-27,External,Completed,4,473.23,20221027.0
3511,Technical Skills,2023-04-07,Internal,Completed,3,344.44,20230407.0
3514,Leadership Development,2023-02-21,Internal,Incomplete,3,975.46,20230221.0
3516,Technical Skills,2023-06-22,Internal,Incomplete,1,570.42,20230622.0
3517,Technical Skills,2022-09-17,Internal,Failed,3,391.31,20220917.0
3518,Customer Service,2023-06-27,Internal,Completed,3,826.58,20230627.0
3519,Leadership Development,2022-12-11,External,Incomplete,4,930.69,20221211.0
3520,Customer Service,2022-09-11,External,Incomplete,1,607.93,20220911.0
3611,Customer Service,2023-01-07,Internal,Completed,1,482.09,20230107.0
3521,Communication Skills,2023-02-28,Internal,Incomplete,5,723.5,20230228.0
3522,Communication Skills,2023-05-05,External,Completed,5,394.04,20230505.0
3523,Leadership Development,2023-07-10,External,Incomplete,2,451.18,20230710.0
3526,Customer Service,2022-10-15,Internal,Passed,2,360.5,20221015.0
3527,Project Management,2023-01-06,Internal,Failed,4,396.28,20230106.0
3528,Technical Skills,2023-03-02,External,Passed,1,465.96,20230302.0
3529,Project Management,2022-09-04,Internal,Incomplete,1,515.56,20220904.0
3530,Customer Service,2023-01-18,External,Passed,2,496.85,20230118.0
3531,Leadership Development,2022-11-30,External,Completed,3,629.46,20221130.0
3532,Technical Skills,2023-05-02,Internal,Failed,2,771.61,20230502.0
3533,Leadership Development,2023-05-11,Internal,Completed,4,418.4,20230511.0
3534,Customer Service,2023-05-21,Internal,Completed,3,900.96,20230521.0
3535,Technical Skills,2023-06-25,External,Incomplete,1,936.96,20230625.0
3536,Leadership Development,2022-11-23,External,Passed,5,269.03,20221123.0
3539,Project Management,2023-03-17,External,Failed,4,234.77,20230317.0
3540,Communication Skills,2022-10-26,External,Incomplete,2,903.46,20221026.0
3541,Customer Service,2023-05-22,External,Passed,4,380.3,20230522.0
3542,Project Management,2022-08-22,Internal,Failed,4,511.42,20220822.0
3543,Communication Skills,2023-05-21,External,Passed,4,171.03,20230521.0
3544,Leadership Development,2023-05-02,External,Passed,3,842.93,20230502.0
3545,Customer Service,2023-05-04,External,Incomplete,5,581.12,20230504.0
3546,Project Management,2022-11-21,External,Passed,4,426.45,20221121.0
3547,Technical Skills,2023-04-24,External,Failed,4,805.05,20230424.0
3548,Leadership Development,2022-08-16,External,Passed,3,368.8,20220816.0
3549,Communication Skills,2022-11-02,External,Failed,5,788.67,20221102.0
3551,Communication Skills,2022-10-27,External,Incomplete,1,570.13,20221027.0
3552,Leadership Development,2022-11-26,External,Failed,4,480.87,20221126.0
3553,Project Management,2022-12-11,Internal,Incomplete,5,689.48,20221211.0
3554,Project Management,2023-06-05,Internal,Completed,4,283.33,20230605.0
3555,Leadership Development,2023-03-04,External,Passed,4,566.12,20230304.0
3556,Customer Service,2023-02-11,Internal,Incomplete,1,513.92,20230211.0
3557,Project Management,2023-02-04,External,Failed,1,210.38,20230204.0
3558,Technical Skills,2023-07-18,Internal,Completed,1,941.54,20230718.0
3559,Project Management,2022-11-30,External,Failed,2,959.81,20221130.0
3560,Technical Skills,2023-05-22,External,Passed,1,738.92,20230522.0
3561,Technical Skills,2022-09-07,External,Failed,5,445.04,20220907.0
3563,Leadership Development,2023-04-06,External,Passed,4,886.9,20230406.0
3564,Technical Skills,2022-12-10,External,Incomplete,4,106.14,20221210.0
3565,Project Management,2023-05-06,External,Passed,4,684.35,20230506.0
3566,Communication Skills,2022-09-05,Internal,Failed,2,578.81,20220905.0
3567,Customer Service,2023-06-09,Internal,Completed,5,764.51,20230609.0
3568,Project Management,2022-08-23,Internal,Incomplete,2,201.76,20220823.0
3569,Technical Skills,2022-11-09,External,Incomplete,4,730.04,20221109.0
3570,Project Management,2023-03-29,External,Failed,2,796.88,20230329.0
3571,Project Management,2023-08-04,External,Completed,3,834.44,20230804.0
3572,Leadership Development,2023-05-19,Internal,Failed,5,569.17,20230519.0
3573,Customer Service,2022-10-06,Internal,Completed,4,386.07,20221006.0
3575,Technical Skills,2022-12-12,Internal,Incomplete,3,583.21,20221212.0
3576,Project Management,2023-02-02,External,Completed,5,398.65,20230202.0
3577,Communication Skills,2023-01-26,Internal,Passed,5,931.46,20230126.0
3578,Project Management,2022-12-01,External,Completed,5,115.06,20221201.0
3579,Communication Skills,2023-04-27,External,Failed,2,199.82,20230427.0
3580,Communication Skills,2022-11-04,Internal,Failed,5,940.2,20221104.0
3581,Communication Skills,2023-01-29,External,Completed,1,122.07,20230129.0
3582,Communication Skills,2022-09-09,Internal,Completed,4,875.02,20220909.0
3583,Communication Skills,2023-03-18,Internal,Incomplete,4,116.4,20230318.0
3584,Technical Skills,2022-12-15,External,Passed,5,341.78,20221215.0
3585,Communication Skills,2023-02-14,Internal,Completed,4,107.48,20230214.0
3586,Communication Skills,2022-09-30,External,Completed,1,502.7,20220930.0
3587,Leadership Development,2023-03-22,External,Completed,5,570.04,20230322.0
3588,Communication Skills,2023-03-23,External,Passed,1,538.83,20230323.0
3589,Communication Skills,2023-01-07,Internal,Incomplete,4,881.8,20230107.0
3593,Project Management,2023-06-15,Internal,Incomplete,3,258.07,20230615.0
3594,Leadership Development,2023-05-05,Internal,Passed,5,472.64,20230505.0
3595,Technical Skills,2023-02-21,External,Passed,2,252.88,20230221.0
3596,Technical Skills,2022-12-14,Internal,Incomplete,2,289.68,20221214.0
3598,Technical Skills,2022-10-11,Internal,Passed,3,373.87,20221011.0
3599,Leadership Development,2023-03-02,Internal,Completed,5,918.86,20230302.0
3600,Leadership Development,2022-11-01,Internal,Passed,4,299.7,20221101.0
3601,Project Management,2023-01-03,External,Completed,1,865.58,20230103.0
3602,Technical Skills,2023-04-09,External,Incomplete,1,632.59,20230409.0
3603,Technical Skills,2022-10-02,External,Incomplete,3,680.48,20221002.0
3604,Project Management,2023-03-23,External,Failed,3,287.71,20230323.0
3605,Communication Skills,2022-11-17,External,Passed,2,102.92,20221117.0
3606,Project Management,2022-10-31,Internal,Passed,2,255.6,20221031.0
3607,Customer Service,2023-05-04,External,Passed,4,321.91,20230504.0
3608,Project Management,2023-03-14,External,Completed,3,834.12,20230314.0
3609,Customer Service,2022-09-23,Internal,Passed,4,273.88,20220923.0
3610,Customer Service,2023-02-15,Internal,Incomplete,4,217.57,20230215.0
3612,Leadership Development,2023-07-03,External,Failed,2,614.11,20230703.0
3613,Customer Service,2022-10-08,Internal,Incomplete,1,354.22,20221008.0
3614,Leadership Development,2023-06-04,External,Passed,3,868.85,20230604.0
3616,Customer Service,2023-01-30,Internal,Incomplete,4,134.93,20230130.0
3617,Customer Service,2023-04-09,Internal,Completed,5,531.1,20230409.0
3618,Leadership Development,2022-12-26,External,Passed,3,609.3,20221226.0
3619,Project Management,2022-11-10,Internal,Passed,2,656.68,20221110.0
3620,Technical Skills,2022-12-20,Internal,Completed,3,654.22,20221220.0
3621,Leadership Development,2023-07-15,External,Passed,3,879.89,20230715.0
3622,Project Management,2023-05-11,External,Completed,1,977.23,20230511.0
3623,Project Management,2023-08-03,External,Completed,2,763.37,20230803.0
3624,Communication Skills,2023-04-05,External,Passed,5,962.13,20230405.0
3625,Technical Skills,2023-03-26,External,Incomplete,2,617.27,20230326.0
3626,Communication Skills,2022-09-25,Internal,Failed,2,559.78,20220925.0
3627,Leadership Development,2022-08-30,Internal,Incomplete,5,113.89,20220830.0
3628,Leadership Development,2022-09-25,Internal,Incomplete,4,858.62,20220925.0
3629,Technical Skills,2023-07-30,Internal,Incomplete,1,343.76,20230730.0
3630,Technical Skills,2022-09-24,Internal,Failed,5,507.58,20220924.0
3631,Customer Service,2023-04-10,Internal,Completed,1,691.12,20230410.0
3632,Technical Skills,2023-06-23,Internal,Completed,2,174.85,20230623.0
3633,Communication Skills,2022-12-01,Internal,Incomplete,3,699.39,20221201.0
3634,Technical Skills,2022-09-15,External,Incomplete,3,254.68,20220915.0
3635,Technical Skills,2023-06-13,External,Failed,2,534.55,20230613.0
3636,Communication Skills,2022-08-26,External,Passed,3,795.72,20220826.0
3637,Project Management,2023-03-21,External,Completed,4,977.23,20230321.0
3638,Customer Service,2023-01-01,Internal,Completed,3,370.79,20230101.0
3640,Communication Skills,2023-01-31,External,Passed,1,699.48,20230131.0
3643,Leadership Development,2023-03-27,Internal,Completed,4,712.43,20230327.0
3644,Technical Skills,2023-02-06,Internal,Incomplete,1,504.66,20230206.0
3645,Leadership Development,2023-05-06,External,Incomplete,5,398.36,20230506.0
3646,Communication Skills,2023-07-22,External,Failed,4,533.61,20230722.0
3647,Technical Skills,2022-08-10,Internal,Completed,4,199.55,20220810.0
3648,Leadership Development,2023-02-26,Internal,Completed,2,325.78,20230226.0
3649,Leadership Development,2022-12-18,External,Completed,4,336.33,20221218.0
3650,Communication Skills,2023-01-09,External,Passed,4,242.71,20230109.0
3651,Leadership Development,2023-05-14,Internal,Failed,4,651.28,20230514.0
3652,Communication Skills,2023-01-31,External,Incomplete,3,962.45,20230131.0
3653,Customer Service,2023-01-20,External,Failed,1,791.72,20230120.0
3654,Project Management,2023-04-11,Internal,Incomplete,4,553.86,20230411.0
3655,Technical Skills,2023-01-04,External,Passed,1,735.72,20230104.0
3656,Project Management,2023-06-14,Internal,Failed,4,867.03,20230614.0
3657,Project Management,2023-05-26,External,Incomplete,1,710.14,20230526.0
3658,Leadership Development,2022-08-18,External,Incomplete,2,799.88,20220818.0
3659,Leadership Development,2023-01-27,External,Passed,5,242.87,20230127.0
3660,Leadership Development,2023-05-19,Internal,Passed,4,849.77,20230519.0
3661,Customer Service,2023-05-06,External,Passed,2,471.5,20230506.0
3662,Customer Service,2023-05-20,Internal,Passed,1,535.93,20230520.0
3665,Project Management,2023-01-09,Internal,Passed,3,752.33,20230109.0
3666,Project Management,2023-08-02,Internal,Completed,3,343.52,20230802.0
3667,Leadership Development,2023-02-03,Internal,Completed,3,860.31,20230203.0
3668,Customer Service,2022-11-28,External,Completed,4,265.55,20221128.0
3669,Project Management,2023-08-03,Internal,Completed,1,183.85,20230803.0
3670,Project Management,2022-09-25,External,Completed,5,942.09,20220925.0
3671,Communication Skills,2023-01-20,External,Passed,4,381.94,20230120.0
3672,Project Management,2022-08-29,External,Failed,1,358.73,20220829.0
3673,Customer Service,2023-03-21,External,Passed,3,578.02,20230321.0
3674,Project Management,2022-11-08,Internal,Completed,2,223.29,20221108.0
3675,Customer Service,2022-09-07,Internal,Passed,5,992.37,20220907.0
3676,Customer Service,2023-02-10,Internal,Failed,5,113.48,20230210.0
3677,Leadership Development,2022-10-05,External,Incomplete,4,882.2,20221005.0
3678,Customer Service,2022-09-06,Internal,Incomplete,2,288.16,20220906.0
3679,Leadership Development,2023-01-16,External,Completed,1,815.52,20230116.0
3680,Leadership Development,2023-05-15,Internal,Completed,4,461.06,20230515.0
3681,Customer Service,2023-03-22,External,Incomplete,2,580.16,20230322.0
3682,Communication Skills,2022-10-17,External,Incomplete,3,336.69,20221017.0
3683,Project Management,2022-12-28,Internal,Completed,1,990.69,20221228.0
3684,Communication Skills,2022-10-29,Internal,Completed,2,939.39,20221029.0
3685,Leadership Development,2023-01-06,External,Passed,1,941.12,20230106.0
3687,Customer Service,2022-12-26,External,Incomplete,3,614.53,20221226.0
3689,Communication Skills,2023-02-25,External,Passed,1,734.94,20230225.0
3690,Technical Skills,2023-04-03,Internal,Completed,5,589.5,20230403.0
3691,Leadership Development,2023-03-06,Internal,Completed,3,311.28,20230306.0
3692,Technical Skills,2023-03-29,Internal,Passed,5,671.88,20230329.0
3693,Project Management,2023-01-24,External,Completed,1,861.5,20230124.0
3694,Leadership Development,2023-05-19,External,Completed,2,649.18,20230519.0
3695,Project Management,2023-01-08,External,Failed,4,492.2,20230108.0
3696,Technical Skills,2023-01-13,Internal,Passed,2,299.59,20230113.0
3697,Technical Skills,2023-04-24,Internal,Failed,2,982.33,20230424.0
3698,Leadership Development,2022-12-24,External,Passed,2,830.36,20221224.0
3699,Customer Service,2022-08-19,External,Passed,1,973.34,20220819.0
3700,Project Management,2023-02-25,Internal,Failed,4,667.34,20230225.0
3701,Communication Skills,2022-08-21,Internal,Failed,4,480.17,20220821.0
3702,Leadership Development,2023-02-15,External,Failed,3,346.28,20230215.0
3703,Communication Skills,2022-12-27,External,Completed,3,121.45,20221227.0
3704,Technical Skills,2022-10-07,External,Incomplete,2,669.3,20221007.0
3705,Technical Skills,2023-04-17,Internal,Completed,5,983.59,20230417.0
3706,Customer Service,2023-06-07,Internal,Completed,1,304.9,20230607.0
3707,Leadership Development,2022-12-24,External,Passed,3,778.72,20221224.0
3708,Customer Service,2023-01-03,External,Passed,4,136.15,20230103.0
3709,Leadership Development,2023-04-07,Internal,Incomplete,4,339.84,20230407.0
3710,Leadership Development,2023-06-02,External,Completed,1,791.78,20230602.0
3711,Leadership Development,2022-10-19,External,Incomplete,5,853.26,20221019.0
3713,Customer Service,2023-05-17,External,Incomplete,5,235.82,20230517.0
3714,Leadership Development,2023-05-18,Internal,Passed,5,448.57,20230518.0
3715,Leadership Development,2023-01-11,External,Incomplete,3,572.56,20230111.0
3716,Project Management,2023-03-07,Internal,Incomplete,4,959.78,20230307.0
3717,Communication Skills,2022-08-22,External,Passed,3,363.02,20220822.0
3718,Communication Skills,2023-05-02,Internal,Completed,2,325.7,20230502.0
3719,Project Management,2022-10-08,Internal,Incomplete,3,727.75,20221008.0
3720,Project Management,2022-09-23,Internal,Passed,2,845.21,20220923.0
3721,Technical Skills,2022-12-22,External,Incomplete,4,327.82,20221222.0
3722,Communication Skills,2023-01-15,Internal,Passed,1,512.55,20230115.0
3723,Communication Skills,2022-09-06,Internal,Completed,1,457.17,20220906.0
3724,Communication Skills,2023-06-28,Internal,Incomplete,4,573.33,20230628.0
3725,Customer Service,2023-05-23,External,Failed,3,135.18,20230523.0
3726,Communication Skills,2023-01-13,External,Failed,3,911.12,20230113.0
3727,Project Management,2023-05-02,Internal,Incomplete,5,693.8,20230502.0
3728,Customer Service,2023-07-10,Internal,Completed,5,419.79,20230710.0
3729,Customer Service,2022-12-12,External,Failed,1,693.56,20221212.0
3730,Leadership Development,2022-08-29,External,Incomplete,1,161.47,20220829.0
3731,Project Management,2023-05-02,External,Passed,5,773.63,20230502.0
3732,Technical Skills,2022-12-09,Internal,Incomplete,5,695.42,20221209.0
3734,Communication Skills,2023-03-05,Internal,Failed,2,702.69,20230305.0
3735,Technical Skills,2022-10-25,External,Failed,1,473.1,20221025.0
3736,Project Management,2022-10-25,Internal,Incomplete,2,119.82,20221025.0
3737,Customer Service,2022-11-17,External,Failed,1,157.8,20221117.0
3738,Technical Skills,2022-09-01,Internal,Completed,3,791.98,20220901.0
3739,Customer Service,2022-08-19,External,Incomplete,5,752.97,20220819.0
3740,Leadership Development,2022-09-11,External,Completed,5,916.21,20220911.0
3741,Project Management,2022-10-05,External,Completed,2,751.04,20221005.0
3742,Communication Skills,2023-04-22,Internal,Passed,3,620.63,20230422.0
3743,Leadership Development,2022-11-17,Internal,Passed,3,439.3,20221117.0
3744,Communication Skills,2023-05-23,Internal,Completed,1,716.39,20230523.0
3745,Technical Skills,2022-10-11,External,Failed,5,300.33,20221011.0
3746,Project Management,2023-02-22,Internal,Passed,3,337.15,20230222.0
3747,Leadership Development,2022-10-18,External,Failed,5,725.6,20221018.0
3748,Customer Service,2022-12-23,Internal,Failed,5,588.88,20221223.0
3749,Technical Skills,2022-09-28,External,Passed,4,742.98,20220928.0
3750,Project Management,2022-09-27,External,Passed,5,283.05,20220927.0
3751,Customer Service,2022-11-10,Internal,Incomplete,4,511.13,20221110.0
3752,Communication Skills,2023-05-31,Internal,Completed,1,158.86,20230531.0
3753,Project Management,2022-09-19,External,Failed,1,741.95,20220919.0
3754,Technical Skills,2023-03-08,External,Incomplete,4,132.52,20230308.0
3756,Technical Skills,2023-03-27,External,Failed,4,521.51,20230327.0
3758,Leadership Development,2023-01-16,Internal,Failed,4,917.17,20230116.0
3759,Project Management,2022-08-11,Internal,Completed,2,790.71,20220811.0
3760,Technical Skills,2022-11-28,External,Passed,1,680.48,20221128.0
3761,Customer Service,2022-08-18,External,Failed,1,947.57,20220818.0
3762,Project Management,2023-06-15,Internal,Failed,2,594.61,20230615.0
3763,Technical Skills,2022-11-13,External,Incomplete,1,775.59,20221113.0
3764,Communication Skills,2022-08-30,External,Incomplete,2,239.16,20220830.0
3765,Customer Service,2022-11-25,Internal,Completed,5,275.94,20221125.0
3766,Technical Skills,2023-03-27,Internal,Incomplete,4,466.32,20230327.0
3767,Leadership Development,2022-10-12,Internal,Completed,4,840.46,20221012.0
3768,Leadership Development,2023-01-04,Internal,Completed,3,145.76,20230104.0
3769,Project Management,2022-10-12,Internal,Incomplete,2,647.7,20221012.0
3770,Project Management,2023-07-05,Internal,Incomplete,2,536.2,20230705.0
3771,Communication Skills,2023-03-26,Internal,Incomplete,5,769.97,20230326.0
3772,Communication Skills,2023-01-01,External,Completed,1,894.66,20230101.0
3773,Project Management,2022-11-15,External,Failed,2,374.02,20221115.0
3774,Leadership Development,2023-02-04,Internal,Passed,5,569.42,20230204.0
3775,Customer Service,2022-11-14,Internal,Completed,1,172.82,20221114.0
3776,Project Management,2023-02-05,Internal,Completed,4,585.84,20230205.0
3777,Project Management,2022-10-13,External,Completed,1,759.38,20221013.0
3778,Customer Service,2022-09-13,Internal,Completed,5,341.74,20220913.0
3782,Technical Skills,2022-12-11,Internal,Passed,5,506.4,20221211.0
3783,Technical Skills,2023-01-25,External,Completed,5,851.24,20230125.0
3784,Communication Skills,2022-10-12,Internal,Completed,2,671.12,20221012.0
3785,Project Management,2022-10-01,External,Passed,1,257.8,20221001.0
3786,Leadership Development,2023-04-17,External,Failed,4,280.06,20230417.0
3787,Project Management,2023-04-26,External,Passed,4,140.03,20230426.0
3788,Customer Service,2023-03-21,External,Completed,2,796.95,20230321.0
3789,Technical Skills,2022-10-26,External,Incomplete,1,997.38,20221026.0
3790,Communication Skills,2023-03-18,External,Completed,2,676.95,20230318.0
3791,Leadership Development,2023-02-12,External,Failed,2,348.89,20230212.0
3792,Project Management,2022-09-09,External,Passed,1,385.62,20220909.0
3793,Project Management,2022-11-24,Internal,Completed,2,552.67,20221124.0
3794,Communication Skills,2023-04-17,External,Failed,2,645.11,20230417.0
3795,Project Management,2023-01-25,External,Passed,1,954.02,20230125.0
3796,Technical Skills,2023-07-03,External,Incomplete,5,255.74,20230703.0
3797,Technical Skills,2023-03-09,External,Completed,2,279.38,20230309.0
3798,Project Management,2022-08-22,External,Passed,5,303.44,20220822.0
3799,Communication Skills,2022-08-07,Internal,Incomplete,4,809.38,20220807.0
3800,Customer Service,2022-10-14,Internal,Completed,4,886.12,20221014.0
3801,Leadership Development,2023-04-01,External,Incomplete,2,125.88,20230401.0
3802,Leadership Development,2023-01-24,Internal,Passed,1,493.72,20230124.0
3804,Customer Service,2023-02-15,External,Incomplete,4,414.55,20230215.0
3805,Communication Skills,2022-08-31,External,Incomplete,1,391.88,20220831.0
3806,Customer Service,2022-09-09,External,Passed,4,600.64,20220909.0
3807,Communication Skills,2023-03-26,External,Passed,1,997.74,20230326.0
3808,Technical Skills,2023-01-25,External,Passed,4,254.26,20230125.0
3809,Technical Skills,2022-10-21,External,Incomplete,3,786.62,20221021.0
3810,Communication Skills,2022-12-21,External,Completed,3,189.7,20221221.0
3811,Technical Skills,2023-05-15,External,Completed,2,484.02,20230515.0
3812,Communication Skills,2023-06-02,Internal,Failed,5,299.74,20230602.0
3813,Technical Skills,2023-07-21,Internal,Failed,1,169.79,20230721.0
3815,Project Management,2023-02-05,Internal,Failed,1,910.09,20230205.0
3816,Communication Skills,2022-12-20,External,Passed,5,912.1,20221220.0
3817,Customer Service,2023-03-07,Internal,Incomplete,4,456.65,20230307.0
3818,Leadership Development,2022-11-07,External,Incomplete,4,313.5,20221107.0
3819,Leadership Development,2022-12-29,Internal,Incomplete,3,906.45,20221229.0
3820,Project Management,2022-08-19,External,Incomplete,2,333.8,20220819.0
3821,Project Management,2022-11-30,External,Passed,2,866.63,20221130.0
3822,Technical Skills,2022-12-08,Internal,Incomplete,5,357.58,20221208.0
3823,Communication Skills,2022-09-21,External,Completed,4,516.9,20220921.0
3824,Leadership Development,2022-10-18,Internal,Completed,5,200.23,20221018.0
3825,Leadership Development,2022-09-24,Internal,Completed,1,728.77,20220924.0
3826,Communication Skills,2022-11-21,Internal,Completed,4,286.12,20221121.0
3827,Communication Skills,2023-02-01,Internal,Failed,5,997.15,20230201.0
3828,Leadership Development,2023-06-13,External,Failed,2,984.63,20230613.0
3829,Project Management,2022-10-24,External,Incomplete,5,233.67,20221024.0
3830,Technical Skills,2023-03-15,Internal,Completed,3,142.42,20230315.0
3831,Project Management,2023-03-22,Internal,Failed,2,784.73,20230322.0
3833,Leadership Development,2023-06-23,External,Completed,2,409.16,20230623.0
3834,Technical Skills,2023-01-04,External,Passed,1,700.53,20230104.0
3835,Customer Service,2022-11-05,External,Failed,3,439.63,20221105.0
3836,Technical Skills,2023-04-29,External,Incomplete,3,830.78,20230429.0
3837,Communication Skills,2023-02-22,Internal,Failed,3,320.34,20230222.0
3838,Communication Skills,2023-04-19,Internal,Failed,2,510.23,20230419.0
3839,Communication Skills,2023-06-12,External,Failed,4,403.0,20230612.0
3840,Technical Skills,2022-11-06,External,Failed,4,170.61,20221106.0
3841,Customer Service,2023-01-24,External,Passed,4,872.91,20230124.0
3844,Project Management,2023-07-09,External,Failed,5,603.67,20230709.0
3845,Project Management,2022-08-17,Internal,Passed,5,546.24,20220817.0
3846,Leadership Development,2023-04-11,Internal,Incomplete,4,607.97,20230411.0
3847,Technical Skills,2023-03-28,Internal,Completed,4,130.59,20230328.0
3848,Communication Skills,2022-11-18,Internal,Incomplete,2,443.56,20221118.0
3849,Leadership Development,2023-03-15,External,Passed,3,436.47,20230315.0
3850,Communication Skills,2022-11-01,Internal,Completed,1,355.75,20221101.0
3854,Communication Skills,2022-10-17,External,Incomplete,5,913.62,20221017.0
3855,Communication Skills,2022-10-02,External,Passed,1,157.94,20221002.0
3856,Technical Skills,2023-07-12,External,Completed,4,527.6,20230712.0
3857,Leadership Development,2023-07-24,External,Completed,1,601.2,20230724.0
3858,Project Management,2023-06-13,External,Failed,4,478.88,20230613.0
3859,Communication Skills,2023-06-05,External,Completed,1,838.69,20230605.0
3860,Technical Skills,2022-10-10,Internal,Completed,4,389.63,20221010.0
3861,Project Management,2023-04-29,Internal,Passed,1,911.36,20230429.0
3863,Leadership Development,2022-09-16,Internal,Incomplete,5,274.98,20220916.0
3865,Project Management,2022-11-03,External,Completed,2,399.26,20221103.0
