invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_5pct,sales,date,time,payment,cogs,gross_income,rating,day,month,weekday,hour,time_of_day,rfm_date
803-83-5989,Branch C,Alexandria,Member,Female,Home and lifestyle,55.73,6,16.719,351.099,2019-02-24,1900-01-01 10:55:00,Ewallet,334.38,16.719,7.0,24,2,Sunday,10,Morning,2019-02-24
347-34-2234,Branch B,Giza,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,2019-02-03,1900-01-01 13:40:00,Ewallet,495.63,24.7815,10.0,3,2,Sunday,13,Afternoon,2019-02-03
199-75-8169,Branch A,Cairo,Member,Female,Sports and travel,15.81,10,7.905,166.005,2019-03-06,1900-01-01 12:27:00,Credit card,158.1,7.905,8.6,6,3,Wednesday,12,Afternoon,2019-03-06
853-23-2453,Branch B,Giza,Member,Female,Health and beauty,75.74,4,15.148,318.108,2019-02-14,1900-01-01 14:35:00,Cash,302.96,15.148,7.6,14,2,Thursday,14,Afternoon,2019-02-14
877-22-3308,Branch A,Cairo,Member,Female,Health and beauty,15.87,10,7.935,166.635,2019-03-13,1900-01-01 16:40:00,Cash,158.7,7.935,5.8,13,3,Wednesday,16,Afternoon,2019-03-13
838-78-4295,Branch C,Alexandria,Member,Female,Health and beauty,33.47,2,3.347,70.287,2019-02-10,1900-01-01 15:43:00,Ewallet,66.94,3.347,6.7,10,2,Sunday,15,Afternoon,2019-02-10
109-28-2512,Branch B,Giza,Member,Female,Fashion accessories,97.61,6,29.283,614.943,2019-01-07,1900-01-01 15:01:00,Ewallet,585.66,29.283,9.9,7,1,Monday,15,Afternoon,2019-01-07
232-11-3025,Branch A,Cairo,Member,Female,Sports and travel,78.77,10,39.385,827.085,2019-01-24,1900-01-01 10:04:00,Cash,787.7,39.385,6.4,24,1,Thursday,10,Morning,2019-01-24
382-03-4532,Branch A,Cairo,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,2019-02-02,1900-01-01 18:50:00,Cash,18.33,0.9165,4.3,2,2,Saturday,18,Evening,2019-02-02
393-65-2792,Branch C,Alexandria,Member,Female,Food and beverages,89.48,10,44.74,939.54,2019-01-06,1900-01-01 12:46:00,Credit card,894.8,44.74,9.6,6,1,Sunday,12,Afternoon,2019-01-06
796-12-2025,Branch C,Alexandria,Member,Female,Fashion accessories,62.12,10,31.06,652.26,2019-02-11,1900-01-01 16:19:00,Cash,621.2,31.06,5.9,11,2,Monday,16,Afternoon,2019-02-11
510-95-6347,Branch B,Giza,Member,Female,Food and beverages,48.52,3,7.278,152.838,2019-03-05,1900-01-01 18:17:00,Ewallet,145.56,7.278,4.0,5,3,Tuesday,18,Evening,2019-03-05
841-35-6630,Branch C,Alexandria,Member,Female,Electronic accessories,75.91,6,22.773,478.233,2019-03-09,1900-01-01 18:21:00,Cash,455.46,22.773,8.7,9,3,Saturday,18,Evening,2019-03-09
287-21-9091,Branch A,Cairo,Member,Female,Home and lifestyle,74.67,9,33.6015,705.6315,2019-01-22,1900-01-01 10:55:00,Ewallet,672.03,33.6015,9.4,22,1,Tuesday,10,Morning,2019-01-22
732-94-0499,Branch C,Alexandria,Member,Female,Electronic accessories,41.65,10,20.825,437.325,2019-01-13,1900-01-01 17:04:00,Credit card,416.5,20.825,5.4,13,1,Sunday,17,Evening,2019-01-13
263-10-3913,Branch C,Alexandria,Member,Female,Fashion accessories,49.04,9,22.068,463.428,2019-01-09,1900-01-01 14:20:00,Credit card,441.36,22.068,8.6,9,1,Wednesday,14,Afternoon,2019-01-09
381-20-0914,Branch A,Cairo,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,2019-01-12,1900-01-01 15:48:00,Credit card,180.09,9.0045,5.7,12,1,Saturday,15,Afternoon,2019-01-12
829-49-1914,Branch C,Alexandria,Member,Female,Food and beverages,78.31,10,39.155,822.255,2019-03-05,1900-01-01 16:24:00,Ewallet,783.1,39.155,6.6,5,3,Tuesday,16,Afternoon,2019-03-05
756-01-7507,Branch C,Alexandria,Member,Female,Health and beauty,20.38,5,5.095,106.995,2019-01-22,1900-01-01 18:56:00,Cash,101.9,5.095,6.0,22,1,Tuesday,18,Evening,2019-01-22
870-72-4431,Branch C,Alexandria,Member,Female,Health and beauty,99.19,6,29.757,624.897,2019-01-21,1900-01-01 14:42:00,Credit card,595.14,29.757,5.5,21,1,Monday,14,Afternoon,2019-01-21
847-38-7188,Branch B,Giza,Member,Female,Food and beverages,96.68,3,14.502,304.542,2019-01-26,1900-01-01 19:56:00,Ewallet,290.04,14.502,6.4,26,1,Saturday,19,Evening,2019-01-26
480-63-2856,Branch C,Alexandria,Member,Female,Food and beverages,19.25,8,7.7,161.7,2019-01-23,1900-01-01 18:37:00,Ewallet,154.0,7.7,6.6,23,1,Wednesday,18,Evening,2019-01-23
787-56-0757,Branch C,Alexandria,Member,Female,Food and beverages,80.36,4,16.072,337.512,2019-02-23,1900-01-01 18:45:00,Credit card,321.44,16.072,8.3,23,2,Saturday,18,Evening,2019-02-23
360-39-5055,Branch C,Alexandria,Member,Female,Sports and travel,48.91,5,12.2275,256.7775,2019-03-09,1900-01-01 10:17:00,Cash,244.55,12.2275,6.6,9,3,Saturday,10,Morning,2019-03-09
730-50-9884,Branch C,Alexandria,Member,Female,Sports and travel,83.06,7,29.071,610.491,2019-03-05,1900-01-01 14:31:00,Ewallet,581.42,29.071,4.0,5,3,Tuesday,14,Afternoon,2019-03-05
362-58-8315,Branch C,Alexandria,Member,Female,Fashion accessories,76.52,5,19.13,401.73,2019-03-25,1900-01-01 10:23:00,Cash,382.6,19.13,9.9,25,3,Monday,10,Morning,2019-03-25
633-44-8566,Branch A,Cairo,Member,Female,Food and beverages,49.38,7,17.283,362.943,2019-03-27,1900-01-01 20:35:00,Credit card,345.66,17.283,7.3,27,3,Wednesday,20,Evening,2019-03-27
504-35-8843,Branch A,Cairo,Member,Female,Sports and travel,42.47,1,2.1235,44.5935,2019-01-02,1900-01-01 16:57:00,Cash,42.47,2.1235,5.7,2,1,Wednesday,16,Afternoon,2019-01-02
318-68-5053,Branch B,Giza,Member,Female,Health and beauty,76.99,6,23.097,485.037,2019-02-27,1900-01-01 17:55:00,Cash,461.94,23.097,6.1,27,2,Wednesday,17,Evening,2019-02-27
565-80-5980,Branch C,Alexandria,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,2019-01-23,1900-01-01 10:25:00,Cash,189.52,9.476,7.1,23,1,Wednesday,10,Morning,2019-01-23
225-32-0908,Branch C,Alexandria,Member,Female,Sports and travel,44.86,10,22.43,471.03,2019-01-26,1900-01-01 19:54:00,Ewallet,448.6,22.43,8.2,26,1,Saturday,19,Evening,2019-01-26
873-51-0671,Branch A,Cairo,Member,Female,Sports and travel,21.98,7,7.693,161.553,2019-01-10,1900-01-01 16:42:00,Ewallet,153.86,7.693,5.1,10,1,Thursday,16,Afternoon,2019-01-10
152-08-9985,Branch B,Giza,Member,Female,Health and beauty,64.36,9,28.962,608.202,2019-03-12,1900-01-01 12:09:00,Credit card,579.24,28.962,8.6,12,3,Tuesday,12,Afternoon,2019-03-12
512-91-0811,Branch C,Alexandria,Member,Female,Health and beauty,89.75,1,4.4875,94.2375,2019-02-06,1900-01-01 20:05:00,Credit card,89.75,4.4875,6.6,6,2,Wednesday,20,Evening,2019-02-06
594-34-4444,Branch A,Cairo,Member,Female,Electronic accessories,97.16,1,4.858,102.018,2019-03-08,1900-01-01 20:38:00,Ewallet,97.16,4.858,7.2,8,3,Friday,20,Evening,2019-03-08
766-85-7061,Branch B,Giza,Member,Female,Health and beauty,87.87,10,43.935,922.635,2019-03-29,1900-01-01 10:25:00,Ewallet,878.7,43.935,5.1,29,3,Friday,10,Morning,2019-03-29
871-39-9221,Branch C,Alexandria,Member,Female,Electronic accessories,12.45,6,3.735,78.435,2019-02-09,1900-01-01 13:11:00,Cash,74.7,3.735,4.1,9,2,Saturday,13,Afternoon,2019-02-09
865-92-6136,Branch A,Cairo,Member,Female,Food and beverages,52.75,3,7.9125,166.1625,2019-03-23,1900-01-01 10:16:00,Ewallet,158.25,7.9125,9.3,23,3,Saturday,10,Morning,2019-03-23
733-01-9107,Branch B,Giza,Member,Female,Home and lifestyle,82.7,6,24.81,521.01,2019-03-05,1900-01-01 18:14:00,Cash,496.2,24.81,7.4,5,3,Tuesday,18,Evening,2019-03-05
163-56-7055,Branch C,Alexandria,Member,Female,Fashion accessories,48.71,1,2.4355,51.1455,2019-03-26,1900-01-01 19:20:00,Cash,48.71,2.4355,4.1,26,3,Tuesday,19,Evening,2019-03-26
189-98-2939,Branch C,Alexandria,Member,Female,Fashion accessories,78.55,9,35.3475,742.2975,2019-03-01,1900-01-01 13:22:00,Cash,706.95,35.3475,7.2,1,3,Friday,13,Afternoon,2019-03-01
551-21-3069,Branch C,Alexandria,Member,Female,Electronic accessories,23.07,9,10.3815,218.0115,2019-02-01,1900-01-01 11:27:00,Cash,207.63,10.3815,4.9,1,2,Friday,11,Morning,2019-02-01
212-62-1842,Branch A,Cairo,Member,Female,Food and beverages,58.26,6,17.478,367.038,2019-03-28,1900-01-01 16:44:00,Cash,349.56,17.478,9.9,28,3,Thursday,16,Afternoon,2019-03-28
716-39-1409,Branch B,Giza,Member,Female,Health and beauty,30.35,7,10.6225,223.0725,2019-03-19,1900-01-01 18:19:00,Cash,212.45,10.6225,8.0,19,3,Tuesday,18,Evening,2019-03-19
704-48-3927,Branch A,Cairo,Member,Female,Electronic accessories,88.67,10,44.335,931.035,2019-01-12,1900-01-01 14:50:00,Ewallet,886.7,44.335,7.3,12,1,Saturday,14,Afternoon,2019-01-12
628-34-3388,Branch C,Alexandria,Member,Female,Fashion accessories,27.38,6,8.214,172.494,2019-01-05,1900-01-01 20:54:00,Credit card,164.28,8.214,7.9,5,1,Saturday,20,Evening,2019-01-05
630-74-5166,Branch A,Cairo,Member,Female,Sports and travel,62.13,6,18.639,391.419,2019-03-22,1900-01-01 20:19:00,Cash,372.78,18.639,7.4,22,3,Friday,20,Evening,2019-03-22
588-01-7461,Branch C,Alexandria,Member,Female,Food and beverages,33.98,9,15.291,321.111,2019-03-24,1900-01-01 10:43:00,Cash,305.82,15.291,4.2,24,3,Sunday,10,Morning,2019-03-24
861-77-0145,Branch C,Alexandria,Member,Female,Electronic accessories,81.97,10,40.985,860.685,2019-03-03,1900-01-01 14:30:00,Cash,819.7,40.985,9.2,3,3,Sunday,14,Afternoon,2019-03-03
479-26-8945,Branch B,Giza,Member,Female,Sports and travel,16.49,2,1.649,34.629,2019-02-05,1900-01-01 11:32:00,Ewallet,32.98,1.649,4.6,5,2,Tuesday,11,Morning,2019-02-05
210-67-5886,Branch C,Alexandria,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,2019-02-05,1900-01-01 10:41:00,Credit card,294.63,14.7315,7.8,5,2,Tuesday,10,Morning,2019-02-05
227-78-1148,Branch B,Giza,Member,Female,Fashion accessories,72.84,7,25.494,535.374,2019-02-15,1900-01-01 12:44:00,Cash,509.88,25.494,8.4,15,2,Friday,12,Afternoon,2019-02-15
645-44-1170,Branch A,Cairo,Member,Female,Home and lifestyle,58.07,9,26.1315,548.7615,2019-01-19,1900-01-01 20:07:00,Ewallet,522.63,26.1315,4.3,19,1,Saturday,20,Evening,2019-01-19
237-01-6122,Branch C,Alexandria,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2019-02-01,1900-01-01 20:31:00,Credit card,727.11,36.3555,9.5,1,2,Friday,20,Evening,2019-02-01
225-98-1496,Branch C,Alexandria,Member,Female,Fashion accessories,27.02,3,4.053,85.113,2019-03-02,1900-01-01 13:01:00,Credit card,81.06,4.053,7.1,2,3,Saturday,13,Afternoon,2019-03-02
291-32-1427,Branch B,Giza,Member,Female,Fashion accessories,21.94,5,5.485,115.185,2019-03-05,1900-01-01 12:29:00,Ewallet,109.7,5.485,5.3,5,3,Tuesday,12,Afternoon,2019-03-05
659-65-8956,Branch B,Giza,Member,Female,Fashion accessories,51.36,1,2.568,53.928,2019-01-16,1900-01-01 15:26:00,Ewallet,51.36,2.568,5.2,16,1,Wednesday,15,Afternoon,2019-01-16
642-32-2990,Branch A,Cairo,Member,Female,Food and beverages,10.96,10,5.48,115.08,2019-02-02,1900-01-01 20:48:00,Ewallet,109.6,5.48,6.0,2,2,Saturday,20,Evening,2019-02-02
378-24-2715,Branch B,Giza,Member,Female,Home and lifestyle,53.44,2,5.344,112.224,2019-01-20,1900-01-01 20:38:00,Ewallet,106.88,5.344,4.1,20,1,Sunday,20,Evening,2019-01-20
638-60-7125,Branch A,Cairo,Member,Female,Electronic accessories,99.56,8,39.824,836.304,2019-02-14,1900-01-01 17:03:00,Credit card,796.48,39.824,5.2,14,2,Thursday,17,Evening,2019-02-14
659-36-1684,Branch C,Alexandria,Member,Female,Sports and travel,57.12,7,19.992,419.832,2019-01-12,1900-01-01 12:02:00,Credit card,399.84,19.992,6.5,12,1,Saturday,12,Afternoon,2019-01-12
219-22-9386,Branch B,Giza,Member,Female,Sports and travel,99.96,9,44.982,944.622,2019-03-09,1900-01-01 17:26:00,Credit card,899.64,44.982,4.2,9,3,Saturday,17,Evening,2019-03-09
336-78-2147,Branch C,Alexandria,Member,Female,Home and lifestyle,63.91,8,25.564,536.844,2019-03-13,1900-01-01 19:52:00,Credit card,511.28,25.564,4.6,13,3,Wednesday,19,Evening,2019-03-13
268-27-6179,Branch B,Giza,Member,Female,Fashion accessories,56.47,8,22.588,474.348,2019-03-09,1900-01-01 14:57:00,Ewallet,451.76,22.588,7.3,9,3,Saturday,14,Afternoon,2019-03-09
668-90-8900,Branch A,Cairo,Member,Female,Home and lifestyle,93.69,7,32.7915,688.6215,2019-03-10,1900-01-01 18:44:00,Credit card,655.83,32.7915,4.5,10,3,Sunday,18,Evening,2019-03-10
870-54-3162,Branch A,Cairo,Member,Female,Sports and travel,32.25,5,8.0625,169.3125,2019-01-27,1900-01-01 13:26:00,Cash,161.25,8.0625,9.0,27,1,Sunday,13,Afternoon,2019-01-27
189-08-9157,Branch C,Alexandria,Member,Female,Fashion accessories,31.73,9,14.2785,299.8485,2019-01-08,1900-01-01 16:17:00,Credit card,285.57,14.2785,5.9,8,1,Tuesday,16,Afternoon,2019-01-08
663-86-9076,Branch C,Alexandria,Member,Female,Food and beverages,68.54,8,27.416,575.736,2019-01-08,1900-01-01 15:57:00,Ewallet,548.32,27.416,8.5,8,1,Tuesday,15,Afternoon,2019-01-08
549-84-7482,Branch B,Giza,Member,Female,Sports and travel,90.28,9,40.626,853.146,2019-02-08,1900-01-01 11:15:00,Ewallet,812.52,40.626,7.2,8,2,Friday,11,Morning,2019-02-08
191-10-6171,Branch B,Giza,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,2019-01-25,1900-01-01 13:18:00,Cash,277.34,13.867,7.5,25,1,Friday,13,Afternoon,2019-01-25
