invoice_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
339-38-9982,76,1,125.706,1,2,2,122,at_risk
339-96-8318,29,1,597.6285,3,2,4,324,others
340-21-9136,64,1,168.21,2,2,2,222,at_risk
340-66-0321,5,1,152.712,4,2,2,422,low_value
342-65-4817,61,1,273.42,2,2,3,223,at_risk
343-61-3544,60,1,280.035,2,2,3,223,at_risk
343-75-9322,80,1,99.54,1,2,1,121,at_risk
343-87-0864,86,1,79.674,1,2,1,121,at_risk
345-08-4992,22,1,214.137,4,2,2,422,low_value
345-68-9016,87,1,266.028,1,2,3,123,at_risk
346-12-3257,26,1,181.818,3,2,2,322,low_value
346-84-3103,28,1,69.405,3,2,1,321,low_value
347-34-2234,55,1,520.4115,2,2,4,224,at_risk
347-56-2442,36,1,69.111,3,2,1,321,low_value
347-72-6115,73,1,666.939,1,2,4,124,at_risk
349-97-8902,72,1,121.569,1,2,1,121,at_risk
351-62-0822,52,1,60.816,2,2,1,221,at_risk
354-25-5821,50,1,435.456,2,2,3,223,at_risk
354-39-5160,40,1,216.846,3,2,2,322,low_value
355-34-6244,76,1,152.019,1,2,2,122,at_risk
355-53-5943,33,1,433.692,3,2,3,323,others
356-44-8813,69,1,118.062,1,2,1,121,at_risk
358-88-9262,57,1,551.124,2,2,4,224,at_risk
359-90-3665,75,1,75.936,1,2,1,121,at_risk
359-94-5395,15,1,97.419,4,2,1,421,low_value
360-39-5055,21,1,256.7775,4,2,3,423,others
361-59-0574,15,1,760.452,4,2,4,424,others
361-85-2571,0,1,469.77,4,2,3,423,others
362-58-8315,5,1,401.73,4,2,3,423,others
364-33-8584,22,1,92.5575,4,2,1,421,low_value
364-34-2972,0,1,304.983,4,2,3,423,others
365-16-4334,34,1,222.012,3,2,2,322,low_value
365-64-0515,46,1,246.4875,2,2,2,222,at_risk
366-43-6862,5,1,222.138,4,2,2,422,low_value
366-93-0948,58,1,69.6675,2,2,1,221,at_risk
369-82-2676,74,1,397.215,1,2,3,123,at_risk
370-41-7321,31,1,535.7205,3,2,4,324,others
370-96-0655,80,1,310.716,1,2,3,123,at_risk
371-85-5789,25,1,277.137,3,2,3,323,others
372-26-1506,61,1,125.055,2,2,2,222,at_risk
372-62-5264,73,1,497.07,1,2,4,124,at_risk
372-94-8041,43,1,96.138,3,2,1,321,low_value
373-09-4567,16,1,814.38,4,2,4,424,others
373-14-0504,46,1,150.423,2,2,2,222,at_risk
373-73-7910,50,1,634.3785,2,2,4,224,at_risk
373-88-1424,52,1,188.0025,2,2,2,222,at_risk
374-17-3652,53,1,404.649,2,2,3,223,at_risk
374-38-5555,51,1,334.4775,2,2,3,223,at_risk
375-72-3056,70,1,198.639,1,2,2,122,at_risk
376-02-8238,56,1,788.508,2,2,4,224,at_risk
376-56-3573,56,1,400.764,2,2,3,223,at_risk
377-79-7592,75,1,423.738,1,2,3,123,at_risk
378-07-7001,48,1,151.4835,2,2,2,222,at_risk
378-24-2715,69,1,112.224,1,2,1,121,at_risk
379-17-6588,16,1,625.905,4,2,4,424,others
380-60-5336,34,1,422.73,3,2,3,323,others
380-94-4661,51,1,276.948,2,2,3,223,at_risk
381-20-0914,77,1,189.0945,1,2,2,122,at_risk
382-03-4532,56,1,19.2465,2,2,1,221,at_risk
382-25-8917,60,1,265.104,2,2,3,223,at_risk
384-59-6655,39,1,932.337,3,2,4,324,others
386-27-7606,7,1,596.82,4,2,4,424,others
387-49-4215,81,1,152.775,1,2,2,122,at_risk
388-76-2555,45,1,86.247,3,2,1,321,low_value
389-25-3394,41,1,62.0025,3,2,1,321,low_value
389-70-2397,37,1,439.215,3,2,3,323,others
390-17-5806,56,1,40.341,2,2,1,221,at_risk
390-31-6381,82,1,85.743,1,2,1,121,at_risk
390-80-5128,61,1,20.1075,2,2,1,221,at_risk
393-65-2792,83,1,939.54,1,2,4,124,at_risk
394-30-3170,8,1,742.812,4,2,4,424,others
394-41-0748,62,1,510.9615,2,2,4,224,at_risk
394-43-4238,43,1,93.2925,3,2,1,321,low_value
394-55-6384,64,1,663.2955,2,2,4,224,at_risk
396-90-2219,35,1,125.664,3,2,2,322,low_value
397-25-8725,76,1,374.409,1,2,3,123,at_risk
399-46-5918,30,1,722.232,3,2,4,324,others
399-69-4630,23,1,139.923,3,2,2,322,low_value
400-45-1220,31,1,141.75,3,2,2,322,low_value
400-60-7251,48,1,77.7735,2,2,1,221,at_risk
400-80-4065,43,1,287.91,3,2,3,323,others
400-89-4171,61,1,680.148,2,2,4,224,at_risk
401-09-4232,47,1,455.1225,2,2,3,223,at_risk
401-18-8016,68,1,103.0365,1,2,1,121,at_risk
404-91-5964,54,1,548.163,2,2,4,224,at_risk
405-31-3305,56,1,452.865,2,2,3,223,at_risk
406-46-7107,78,1,608.076,1,2,4,124,at_risk
407-63-8975,7,1,465.444,4,2,3,423,others
408-26-9866,28,1,543.753,3,2,4,324,others
408-66-6712,42,1,300.573,3,2,3,323,others
409-33-9708,39,1,206.808,3,2,2,322,low_value
409-49-6995,53,1,297.801,2,2,3,223,at_risk
410-67-1709,69,1,536.592,1,2,4,124,at_risk
411-77-0180,4,1,530.67,4,2,4,424,others
413-20-6708,12,1,54.0435,4,2,1,421,low_value
414-12-7047,71,1,166.236,1,2,2,122,at_risk
416-13-5917,59,1,509.4075,2,2,4,224,at_risk
416-17-9926,88,1,779.31,1,2,4,124,at_risk
418-02-5978,47,1,794.6505,2,2,4,224,at_risk
418-05-0656,56,1,187.866,2,2,2,222,at_risk
420-04-7590,12,1,314.055,4,2,3,423,others
420-11-4919,41,1,374.7975,3,2,3,323,others
420-18-8989,56,1,432.768,2,2,3,223,at_risk
420-97-3340,2,1,225.792,4,2,2,422,low_value
421-95-9805,51,1,30.408,2,2,1,221,at_risk
422-29-8786,86,1,352.2225,1,2,3,123,at_risk
423-57-2993,3,1,588.357,4,2,4,424,others
423-64-4619,23,1,146.9475,3,2,2,322,low_value
423-80-0988,59,1,160.44,2,2,2,222,at_risk
425-85-2085,1,1,288.015,4,2,3,423,others
426-39-2418,75,1,451.3635,1,2,3,123,at_risk
427-45-9297,18,1,299.3655,4,2,3,423,others
428-83-5800,49,1,66.402,2,2,1,221,at_risk
430-02-3888,51,1,289.926,2,2,3,223,at_risk
430-53-4718,61,1,633.108,2,2,4,224,at_risk
430-60-3493,55,1,697.368,2,2,4,224,at_risk
431-66-2305,43,1,833.9625,3,2,4,324,others
433-08-7822,84,1,579.8415,1,2,4,124,at_risk
433-75-6987,25,1,411.3795,3,2,3,323,others
434-35-9162,54,1,98.028,2,2,1,221,at_risk
434-83-9547,66,1,323.148,1,2,3,123,at_risk
435-13-4908,65,1,728.112,2,2,4,224,at_risk
436-54-4512,10,1,96.1905,4,2,1,421,low_value
437-53-3084,32,1,209.769,3,2,2,322,low_value
437-58-8131,74,1,154.392,1,2,2,122,at_risk
438-01-4015,9,1,207.858,4,2,2,422,low_value
438-23-1242,65,1,557.718,2,2,4,224,at_risk
439-54-7422,12,1,214.998,4,2,2,422,low_value
440-59-5691,50,1,273.0525,2,2,3,223,at_risk
441-94-7118,54,1,75.5475,2,2,1,221,at_risk
442-44-6497,81,1,175.0455,1,2,2,122,at_risk
442-48-3607,16,1,49.308,4,2,1,421,low_value
443-59-0061,55,1,708.225,2,2,4,224,at_risk
443-60-9639,65,1,63.9135,2,2,1,221,at_risk
443-82-0585,57,1,326.256,2,2,3,223,at_risk
445-30-9252,72,1,80.955,1,2,1,121,at_risk
446-47-6729,87,1,209.622,1,2,2,122,at_risk
447-15-7839,49,1,233.52,2,2,2,222,at_risk
448-34-8700,48,1,271.2885,2,2,3,223,at_risk
448-61-3783,9,1,756.168,4,2,4,424,others
448-81-5016,19,1,125.517,4,2,2,422,low_value
449-16-6770,39,1,266.6475,3,2,3,323,others
449-27-2918,4,1,41.076,4,2,1,421,low_value
450-28-2866,74,1,91.56,1,2,1,121,at_risk
450-42-3339,49,1,888.405,2,2,4,224,at_risk
451-28-5717,10,1,523.971,4,2,4,424,others
451-73-2711,75,1,89.0715,1,2,1,121,at_risk
452-04-8808,63,1,640.038,2,2,4,224,at_risk
453-12-7053,20,1,144.081,4,2,2,422,low_value
453-33-6436,51,1,782.208,2,2,4,224,at_risk
453-63-6187,29,1,86.625,3,2,1,321,low_value
457-12-0244,16,1,221.886,4,2,2,422,low_value
457-13-1708,81,1,684.915,1,2,4,124,at_risk
457-94-0464,58,1,830.3715,2,2,4,224,at_risk
458-10-8612,69,1,470.988,1,2,3,123,at_risk
458-41-1477,22,1,291.438,4,2,3,423,others
458-61-0011,38,1,253.26,3,2,2,322,low_value
459-45-2396,33,1,313.74,3,2,3,323,others
459-50-7686,76,1,147.798,1,2,2,122,at_risk
460-35-4390,67,1,96.642,1,2,1,121,at_risk
460-93-5834,76,1,335.013,1,2,3,123,at_risk
462-67-9126,68,1,461.286,1,2,3,123,at_risk
462-78-5240,11,1,55.881,4,2,1,421,low_value
466-61-5506,32,1,571.41,3,2,4,324,others
468-01-2051,24,1,456.288,3,2,3,323,others
468-88-0009,6,1,276.948,4,2,3,423,others
468-99-7231,27,1,369.684,3,2,3,323,others
470-31-3286,29,1,46.683,3,2,1,321,low_value
470-32-9057,2,1,269.535,4,2,3,423,others
471-06-8611,52,1,55.041,2,2,1,221,at_risk
471-41-2823,23,1,209.559,3,2,2,322,low_value
472-15-9636,8,1,427.812,4,2,3,423,others
474-33-8305,7,1,495.3165,4,2,4,424,others
477-24-6490,32,1,628.173,3,2,4,324,others
477-59-2456,66,1,333.984,1,2,3,123,at_risk
478-06-7835,78,1,94.1745,1,2,1,121,at_risk
479-26-8945,53,1,34.629,2,2,1,221,at_risk
480-63-2856,66,1,161.7,1,2,2,122,at_risk
482-17-1179,70,1,37.611,1,2,1,121,at_risk
483-71-1164,22,1,512.19,4,2,4,424,others
484-22-8230,81,1,381.3915,1,2,3,123,at_risk
485-30-8700,12,1,174.615,4,2,2,422,low_value
487-79-6868,4,1,116.1405,4,2,1,421,low_value
488-25-4221,36,1,31.9305,3,2,1,321,low_value
489-64-4354,21,1,17.094,4,2,1,421,low_value
489-82-1237,84,1,690.018,1,2,4,124,at_risk
490-29-1201,83,1,16.107,1,2,1,121,at_risk
490-95-0021,81,1,348.705,1,2,3,123,at_risk
491-38-3499,32,1,58.2225,3,2,1,321,low_value
493-65-6248,88,1,388.29,1,2,3,123,at_risk
497-36-0989,43,1,163.611,3,2,2,322,low_value
497-37-6538,72,1,432.9885,1,2,3,123,at_risk
498-41-1961,38,1,350.07,3,2,3,323,others
499-27-7781,16,1,446.964,4,2,3,423,others
500-02-2261,9,1,360.927,4,2,3,423,others
501-61-1753,86,1,397.845,1,2,3,123,at_risk
502-05-1910,33,1,205.317,3,2,2,322,low_value
503-07-0930,35,1,429.1665,3,2,3,323,others
503-21-4385,37,1,125.7165,3,2,2,322,low_value
504-35-8843,87,1,44.5935,1,2,1,121,at_risk
505-02-0892,33,1,357.588,3,2,3,323,others
509-10-0516,49,1,193.074,2,2,2,222,at_risk
509-29-3912,10,1,365.904,4,2,3,423,others
510-09-5628,15,1,206.43,4,2,2,422,low_value
510-79-0415,65,1,145.404,2,2,2,222,at_risk
510-95-6347,25,1,152.838,3,3,2,332,loyal
511-54-3087,33,1,92.8725,3,3,1,331,loyal
512-91-0811,52,1,94.2375,2,3,1,231,low_value
512-98-1403,9,1,83.412,4,3,1,431,loyal
514-37-2845,10,1,208.425,4,3,2,432,loyal
516-77-6464,34,1,53.34,3,3,1,331,loyal
518-17-2983,54,1,204.246,2,3,2,232,low_value
518-71-6847,32,1,167.58,3,3,2,332,loyal
521-18-7827,67,1,206.7975,1,3,2,132,low_value
522-57-8364,58,1,431.256,2,3,3,233,others
